frame,xc,yc,wn,hn,conf
0,0.6596094965934753,0.46781691908836365,0.02871112897992134,0.14422403275966644,0.6686155200004578
16,0.6533092260360718,0.44773897528648376,0.02538433112204075,0.14493602514266968,0.7776358127593994
32,0.10664159059524536,0.44552308320999146,0.060592103749513626,0.14121229946613312,0.7534393072128296
48,0.5685878992080688,0.5113906264305115,0.03270301967859268,0.1559552550315857,0.8197606801986694
64,0.5331751108169556,0.33903634548187256,0.015439128503203392,0.02953796461224556,0.4382275640964508
80,0.9413384199142456,0.35880547761917114,0.024696921929717064,0.1174793690443039,0.5661969184875488
96,0.5484997630119324,0.528316080570221,0.0522981658577919,0.1831659972667694,0.8876135945320129
112,0.1279486119747162,0.9608355760574341,0.054735828191041946,0.07657606154680252,0.95247483253479
128,0.15488970279693604,0.9533789157867432,0.05085902288556099,0.09061635285615921,0.8583566546440125
144,0.8179489374160767,0.42338740825653076,0.07065920531749725,0.1719077229499817,0.7705740928649902
160,0.1927923709154129,0.23054000735282898,0.029119014739990234,0.13150863349437714,0.776022732257843
176,0.476998507976532,0.39399537444114685,0.04396400600671768,0.15852771699428558,0.8600628972053528
192,0.41850370168685913,0.15269766747951508,0.02539539337158203,0.1160496324300766,0.8295912742614746
208,0.6905191540718079,0.96626216173172,0.06109180301427841,0.0668063685297966,0.817804217338562
224,0.12882879376411438,0.222406804561615,0.015316247940063477,0.057810720056295395,0.8651557564735413
240,0.7346727848052979,0.9527025818824768,0.06378946453332901,0.09459482878446579,0.7939934730529785
256,0.7481722831726074,0.931038498878479,0.06910876929759979,0.13733859360218048,0.8858947157859802
272,0.1929716318845749,0.4060184955596924,0.03746233135461807,0.12482605129480362,0.7912712097167969
288,0.4954407811164856,0.28540682792663574,0.028029918670654297,0.13246095180511475,0.8252212405204773
304,0.4775004982948303,0.4748751223087311,0.058418940752744675,0.1877056509256363,0.7878076434135437
320,0.5219601392745972,0.3027452230453491,0.02438640594482422,0.185008242726326,0.6846030354499817
336,0.6386977434158325,0.30190324783325195,0.04416999965906143,0.19574487209320068,0.6321086287498474
352,0.7193762063980103,0.26930946111679077,0.031816862523555756,0.13818515837192535,0.5864639282226562
368,0.8173398971557617,0.2733783423900604,0.030185889452695847,0.1429176777601242,0.756079375743866
384,0.4281979203224182,0.5503097772598267,0.04493236541748047,0.1609310507774353,0.7631431818008423
400,0.8856121301651001,0.820039689540863,0.22582760453224182,0.344410240650177,0.8836276531219482
416,0.39580202102661133,0.4527217447757721,0.05043830722570419,0.1417699158191681,0.849032998085022
432,0.5001813173294067,0.4004204571247101,0.02630329132080078,0.09428659826517105,0.6916328072547913
448,0.4994218945503235,0.5492331981658936,0.06834153831005096,0.21706128120422363,0.8188362121582031
464,0.10952818393707275,0.5741835832595825,0.045433707535266876,0.24884559214115143,0.6997226476669312
480,0.3460301160812378,0.6555802822113037,0.051961373537778854,0.24590317904949188,0.745955765247345
496,0.32420116662979126,0.4944644570350647,0.03196897357702255,0.2120925933122635,0.8151801228523254
512,0.3572338819503784,0.6507099270820618,0.044179342687129974,0.24230049550533295,0.6683409810066223
528,0.3375568985939026,0.6460502743721008,0.03902492672204971,0.25647735595703125,0.7209448218345642
544,0.07772178947925568,0.38668686151504517,0.044932641088962555,0.15359081327915192,0.6297897100448608
560,0.3396766185760498,0.6559313535690308,0.04052429273724556,0.24681735038757324,0.7213965058326721
576,0.06309090554714203,0.3897874653339386,0.04191179201006889,0.2269372045993805,0.6540223360061646
592,0.9916602373123169,0.659494936466217,0.016038130968809128,0.07143876701593399,0.8586236834526062
608,0.09813661128282547,0.9047228693962097,0.08708437532186508,0.18178457021713257,0.8836517930030823
624,0.5384238958358765,0.34174737334251404,0.025598812848329544,0.13085752725601196,0.802082896232605
640,0.6792043447494507,0.31769609451293945,0.029701614752411842,0.16151703894138336,0.726404070854187
656,0.5040183067321777,0.9440167546272278,0.08771038055419922,0.11121012270450592,0.87162846326828
672,0.4540899395942688,0.5259732604026794,0.041957855224609375,0.14875945448875427,0.7688773274421692
688,0.3474765419960022,0.6188485622406006,0.04154467582702637,0.14319440722465515,0.8632173538208008
704,0.2875159978866577,0.4931623637676239,0.04564528539776802,0.1792755126953125,0.8075971007347107
720,0.12364666163921356,0.470840185880661,0.03487358242273331,0.14748451113700867,0.913054883480072
736,0.3583516776561737,0.5350882411003113,0.06821136176586151,0.16967366635799408,0.7345355153083801
752,0.8091282844543457,0.3051168620586395,0.02308635786175728,0.11376037448644638,0.7197268605232239
768,0.6236428618431091,0.4846912920475006,0.048774052411317825,0.20006459951400757,0.8202337622642517
784,0.32691651582717896,0.47042572498321533,0.03782482072710991,0.20826373994350433,0.7802959680557251
800,0.7884268760681152,0.31253084540367126,0.029825210571289062,0.10738864541053772,0.7681991457939148
816,0.6263054013252258,0.39707303047180176,0.047605324536561966,0.17914515733718872,0.840078592300415
832,0.5594163537025452,0.26916590332984924,0.0259722713381052,0.10933994501829147,0.7065632939338684
848,0.6261633038520813,0.12877799570560455,0.02906208112835884,0.13052397966384888,0.6993389129638672
