frame,timestamp_ms,ball_x_px,ball_y_px,ball_conf,ball_x_smooth,ball_y_smooth
0,0.0,1137.7039794921875,500.1634521484375,,1137.7039794921875,500.1634521484375
1,264.0,1137.7039794921875,500.1634521484375,,1137.7039794921875,500.1634521484375
2,530.0,1137.7039794921875,500.1634521484375,,1137.7039794921875,500.1634521484375
3,797.0,1137.7039794921875,500.1634521484375,,1137.7039794921875,500.1634521484375
4,1061.0,1137.7039794921875,500.1634521484375,,1137.7039794921875,500.1634521484375
5,1327.0,1137.7039794921875,500.1634521484375,,1137.7039794921875,500.1634521484375
6,1594.0,1137.7039794921875,500.1634521484375,,1137.7039794921875,500.1634521484375
7,1858.0,1137.7039794921875,500.1634521484375,,1137.7039794921875,500.1634521484375
8,2125.0,1137.7039794921875,500.1634521484375,,1137.7039794921875,500.1634521484375
9,2389.0000000000005,1137.7039794921875,500.1634521484375,,1137.7039794921875,500.1634521484375
10,2655.0000000000005,1137.7039794921875,500.1634521484375,,1137.7039794921875,500.1634521484375
11,2921.0000000000005,1137.7039794921875,500.1634521484375,,1137.7039794921875,500.1634521484375
12,3189.0,1137.7039794921875,500.1634521484375,,1137.7039794921875,500.1634521484375
13,3452.0,1137.7039794921875,500.1634521484375,,1137.7039794921875,500.1634521484375
14,3722.0,1137.7039794921875,500.1634521484375,,1137.7039794921875,500.1634521484375
15,3989.0,1137.7039794921875,500.1634521484375,,1137.7039794921875,500.1634521484375
16,4255.0,1137.7039794921875,500.1634521484375,,1137.7039794921875,500.1634521484375
17,4522.0,1137.7039794921875,500.1634521484375,,1137.7039794921875,500.1634521484375
18,4788.0,1137.7039794921875,500.1634521484375,,1137.7039794921875,500.1634521484375
19,5055.0,1137.7039794921875,500.1634521484375,,1137.7039794921875,500.1634521484375
20,5312.0,1137.7039794921875,500.1634521484375,,1137.7039794921875,500.1634521484375
21,5580.0,1137.7039794921875,500.1634521484375,,1137.7039794921875,500.1634521484375
22,5849.0,1137.7039794921875,500.1634521484375,,1137.7039794921875,500.1634521484375
23,6120.0,1137.7039794921875,500.1634521484375,,1137.7039794921875,500.1634521484375
24,6387.0,1137.7039794921875,500.1634521484375,,1137.7039794921875,500.1634521484375
25,6640.000000000001,1137.7039794921875,500.1634521484375,,1137.7539306640624,500.1491455078125
26,6905.0,1137.7039794921875,500.1634521484375,0.05957723408937454,1137.90556640625,500.0185791015625
