attempt_id,frame,timestamp_ms,ball_x_px,ball_y_px,ball_x_ft,ball_y_ft,is_attempt
0,108,28800.0,353.0,494.0,1.9056,2.6667,False
0,109,29066.67,353.0,494.0,1.9056,2.6667,False
0,110,29333.33,353.0,494.0,1.9056,2.6667,False
0,111,29600.0,353.0,494.0,1.9056,2.6667,False
0,112,29866.67,353.0,494.0,1.9056,2.6667,False
0,113,30133.33,353.0,494.0,1.9056,2.6667,False
0,114,30400.0,353.0,494.0,1.9056,2.6667,False
0,115,30666.67,353.0,494.0,1.9056,2.6667,False
0,116,30933.33,353.0,494.0,1.9056,2.6667,False
0,117,31200.0,353.0,494.0,1.9056,2.6667,False
0,118,31466.67,353.0,494.0,1.9056,2.6667,False
0,119,31733.33,353.0,494.0,1.9056,2.6667,False
0,120,32000.0,353.0,494.0,1.9056,2.6667,False
0,121,32266.67,353.0,494.0,1.9056,2.6667,False
0,122,32533.33,353.0,494.0,1.9056,2.6667,False
0,123,32800.0,353.0,494.0,1.9056,2.6667,False
0,124,33066.67,353.0,494.0,1.9056,2.6667,False
0,125,33333.33,353.0,494.0,1.9056,2.6667,False
0,126,33600.0,353.0,494.0,1.9056,2.6667,False
0,127,33866.67,353.0,494.0,1.9056,2.6667,False
0,128,34133.33,353.0,494.0,1.9056,2.6667,False
0,129,34400.0,353.0,494.0,1.9056,2.6667,False
0,130,34666.67,353.0,494.0,1.9056,2.6667,False
0,131,34933.33,353.0,494.0,1.9056,2.6667,False
0,132,35200.0,353.0,494.0,1.9056,2.6667,False
0,133,35466.67,353.0,494.0,1.9056,2.6667,False
0,134,35733.33,353.0,494.0,1.9056,2.6667,False
0,135,36000.0,353.0,494.0,1.9056,2.6667,False
0,136,36266.67,353.0,494.0,1.9056,2.6667,False
0,137,36533.33,353.0,494.0,1.9056,2.6667,False
0,138,36800.0,353.0,494.0,1.9056,2.6667,False
0,139,37066.67,353.0,494.0,1.9056,2.6667,False
0,140,37333.33,353.0,494.0,1.9056,2.6667,False
0,141,37600.0,353.0,494.0,1.9056,2.6667,False
0,142,37866.67,353.0,494.0,1.9056,2.6667,False
0,143,38133.33,353.0,494.0,1.9056,2.6667,False
0,144,38400.0,353.0,494.0,1.9056,2.6667,False
0,145,38666.67,353.0,494.0,1.9056,2.6667,False
0,146,38933.33,353.0,494.0,1.9056,2.6667,False
0,147,39200.0,353.0,494.0,1.9056,2.6667,False
0,148,39466.67,353.0,494.0,1.9056,2.6667,False
0,149,39733.33,353.0,494.0,1.9056,2.6667,False
0,150,40000.0,353.0,494.0,1.9056,2.6667,False
0,151,40266.67,353.0,494.0,1.9056,2.6667,False
0,152,40533.33,353.0,494.0,1.9056,2.6667,False
0,153,40800.0,353.0,494.0,1.9056,2.6667,False
0,154,41066.67,353.0,494.0,1.9056,2.6667,False
0,155,41333.33,353.0,494.0,1.9056,2.6667,False
0,156,41600.0,353.0,494.0,1.9056,2.6667,False
0,157,41866.67,353.0,494.0,1.9056,2.6667,False
0,158,42133.33,353.0,494.0,1.9056,2.6667,False
0,159,42400.0,353.0,494.0,1.9056,2.6667,False
0,160,42666.67,353.0,494.0,1.9056,2.6667,False
0,161,42933.33,353.0,494.0,1.9056,2.6667,False
0,162,43200.0,353.0,494.0,1.9056,2.6667,False
0,163,43466.67,353.0,494.0,1.9056,2.6667,False
0,164,43733.33,353.0,494.0,1.9056,2.6667,False
0,165,44000.0,353.0,494.0,1.9056,2.6667,False
0,166,44266.67,353.0,494.0,1.9056,2.6667,False
0,167,44533.33,353.0,494.0,1.9056,2.6667,False
0,168,44800.0,353.0,494.0,1.9056,2.6667,False
0,169,45066.67,353.0,494.0,1.9056,2.6667,False
0,170,45333.33,353.0,494.0,1.9056,2.6667,False
0,171,45600.0,353.0,494.0,1.9056,2.6667,False
0,172,45866.67,353.0,494.0,1.9056,2.6667,False
0,173,46133.33,353.0,494.0,1.9056,2.6667,False
0,174,46400.0,353.0,494.0,1.9056,2.6667,False
0,175,46666.67,353.0,494.0,1.9056,2.6667,False
0,176,46933.33,353.0,494.0,1.9056,2.6667,False
0,177,47200.0,353.0,494.0,1.9056,2.6667,False
0,178,47466.67,353.0,494.0,1.9056,2.6667,False
0,179,47733.33,353.0,494.0,1.9056,2.6667,False
0,180,48000.0,353.0,494.0,1.9056,2.6667,False
0,181,48266.67,353.0,494.0,1.9056,2.6667,False
0,182,48533.33,353.0,494.0,1.9056,2.6667,False
0,183,48800.0,353.0,494.0,1.9056,2.6667,False
0,184,49066.67,353.0,494.0,1.9056,2.6667,False
0,185,49333.33,353.0,494.0,1.9056,2.6667,False
0,186,49600.0,353.0,494.0,1.9056,2.6667,False
0,187,49866.67,353.0,494.0,1.9056,2.6667,False
0,188,50133.33,353.0,494.0,1.9056,2.6667,False
0,189,50400.0,353.0,494.0,1.9056,2.6667,False
0,190,50666.67,353.0,494.0,1.9056,2.6667,False
0,191,50933.33,353.0,494.0,1.9056,2.6667,False
0,192,51200.0,353.0,494.0,1.9056,2.6667,False
0,193,51466.67,353.0,494.0,1.9056,2.6667,False
0,194,51733.33,353.0,494.0,1.9056,2.6667,False
0,195,52000.0,353.0,494.0,1.9056,2.6667,False
0,196,52266.67,353.0,494.0,1.9056,2.6667,False
0,197,52533.33,353.0,494.0,1.9056,2.6667,False
0,198,52800.0,353.0,494.0,1.9056,2.6667,False
0,199,53066.67,353.0,494.0,1.9056,2.6667,False
0,200,53333.33,353.0,494.0,1.9056,2.6667,False
0,201,53600.0,353.0,494.0,1.9056,2.6667,False
0,202,53866.67,353.0,494.0,1.9056,2.6667,False
0,203,54133.33,353.0,494.0,1.9056,2.6667,False
0,204,54400.0,353.0,494.0,1.9056,2.6667,False
0,205,54666.67,353.0,494.0,1.9056,2.6667,False
0,206,54933.33,353.0,494.0,1.9056,2.6667,False
0,207,55200.0,353.0,494.0,1.9056,2.6667,False
