frame,timestamp_ms,x,y,conf
10,2666.6666666666665,1233.4705,296.96606,0.005277107
12,3200.0,1137.3713,500.00757,0.01072552
14,3733.3333333333335,1136.5763,500.8523,0.022292567
16,4266.666666666667,1136.5029,500.8015,0.018294597
18,4800.0,1136.6023,500.7282,0.01992262
20,5333.333333333333,1136.3098,500.8894,0.024756037
22,5866.666666666667,1137.188,499.6869,0.026306503
24,6400.0,1137.2832,499.69714,0.03894404
26,6933.333333333333,1137.704,500.16345,0.059577234
28,7466.666666666667,1138.4622,499.51062,0.1869662
30,8000.0,1236.5032,287.897,0.12517427
32,8533.333333333334,1234.1355,280.4617,0.009586707
34,9066.666666666666,1203.8535,265.26843,0.026172167
36,9600.0,1110.1044,242.41614,0.05469885
42,11200.0,693.27344,489.70306,0.011484457
56,14933.333333333334,21.097586,593.65515,0.02574577
60,16000.0,1177.9495,511.0744,0.035495684
72,19200.0,148.30286,381.28845,0.008155114
98,26133.333333333332,309.82678,356.58215,0.007822455
102,27200.0,244.26353,269.745,0.05412032
118,31466.666666666668,1097.8188,686.5586,0.02110023
126,33600.0,250.66287,387.0564,0.059270576
128,34133.333333333336,258.64484,483.63315,0.018785467
132,35200.0,353.7807,494.98914,0.21018012
134,35733.333333333336,392.19604,447.59464,0.11998755
136,36266.666666666664,441.43085,529.0918,0.02697366
142,37866.666666666664,353.39,413.61386,0.012759199
144,38400.0,268.95587,433.59607,0.012256033
146,38933.333333333336,177.7717,468.68152,0.009081028
148,39466.666666666664,94.03584,504.75598,0.0066948296
150,40000.0,922.7554,160.41039,0.026090449
152,40533.333333333336,873.831,164.09467,0.008805938
154,41066.666666666664,829.6128,172.76404,0.0058975006
158,42133.333333333336,740.59143,194.51875,0.009874586
164,43733.333333333336,682.6809,469.3033,0.022431483
170,45333.333333333336,714.8834,266.21393,0.028720854
178,47466.666666666664,605.5967,309.60193,0.01483231
184,49066.666666666664,1010.5256,284.18182,0.07100186
188,50133.333333333336,909.44165,443.15204,0.16752993
190,50666.666666666664,997.4805,194.23325,0.005226617
192,51200.0,986.6703,190.74908,0.022509348
194,51733.333333333336,677.78467,456.88913,0.009878023
200,53333.333333333336,545.8991,465.7438,0.006226483
206,54933.333333333336,713.84094,393.4956,0.0074124592
208,55466.666666666664,779.1454,181.76794,0.0070635877
210,56000.0,830.106,172.27295,0.006446856
220,58666.666666666664,726.8295,393.19287,0.0097695105
222,59200.0,108.19357,494.3235,0.0056987726
224,59733.333333333336,1131.6573,340.0095,0.058525506
226,60266.666666666664,948.7171,162.9224,0.029105037
228,60800.0,927.26404,163.16968,0.008358031
230,61333.333333333336,908.5265,164.74812,0.0057975054
232,61866.666666666664,892.2061,165.3999,0.011518101
236,62933.333333333336,874.4061,165.61388,0.005575622
240,64000.0,1146.022,470.81525,0.0056843194
242,64533.333333333336,872.0774,166.25961,0.016849993
244,65066.666666666664,1003.8591,331.80017,0.2826494
246,65600.0,877.62244,374.12885,0.21580471
248,66133.33333333333,981.2933,162.36386,0.0657389
250,66666.66666666667,1050.4467,164.77075,0.017408496
252,67200.0,1129.1814,172.66199,0.035396367
254,67733.33333333333,313.38324,408.03802,0.005156826
260,69333.33333333333,460.16132,283.89734,0.008285531
264,70400.0,436.50922,369.33304,0.0051275417
270,72000.0,263.46014,306.7113,0.31210828
278,74133.33333333333,753.5293,509.24084,0.035914294
282,75200.0,778.68726,535.8194,0.02357329
284,75733.33333333333,782.0004,540.57825,0.0050982195
286,76266.66666666667,787.95325,541.80457,0.008175438
288,76800.0,793.312,547.7661,0.009745699
294,78400.0,296.64313,252.49237,0.07987904
300,80000.0,790.5472,318.77713,0.05044069
302,80533.33333333333,718.16504,582.54834,0.01282713
328,87466.66666666667,389.34985,543.29474,0.0057047005
334,89066.66666666667,390.54678,543.98303,0.009455175
336,89600.0,390.55725,543.9055,0.005432673
342,91200.0,508.76782,383.2613,0.025012087
344,91733.33333333333,486.0973,374.52673,0.012566611
350,93333.33333333333,1274.3755,451.39648,0.048336025
358,95466.66666666667,305.9143,292.2497,0.009878634
360,96000.0,743.2499,645.7405,0.0097909
362,96533.33333333333,687.2405,600.7092,0.030861944
384,102400.0,467.20483,397.0077,0.035881322
386,102933.33333333333,654.7595,456.00006,0.014765264
390,104000.0,610.8162,459.97794,0.008222873
394,105066.66666666667,603.7203,238.90948,0.029641995
396,105600.0,580.43005,248.94781,0.027709702
398,106133.33333333333,553.70685,261.5769,0.010644663
408,108800.0,631.619,331.04736,0.10074488
414,110400.0,519.1477,352.6214,0.0722276
416,110933.33333333333,1048.1133,357.36597,0.009252488
418,111466.66666666667,749.3518,251.45859,0.03265689
420,112000.0,940.73975,379.29675,0.007322207
432,115200.0,518.8457,335.59283,0.024964338
434,115733.33333333333,532.22754,340.28067,0.035314597
442,117866.66666666667,594.2739,334.65344,0.014895893
448,119466.66666666667,859.4469,239.06396,0.024985982
