frame,timestamp_ms,signal
0,0.0,0
2,530.0,0
4,1061.0,0
6,1594.0,0
8,2125.0,0
10,2655.0000000000005,0
12,3189.0,0
14,3722.0,0
16,4255.0,0
18,4788.0,0
20,5312.0,0
22,5849.0,0
24,6387.0,0
26,6905.0,0
28,7438.0,0
30,7972.0,0
32,8505.0,0
34,9030.0,0
36,9563.0,0
38,10095.0,0
40,10629.0,0
42,11155.0,0
44,11689.0,0
46,12218.0,0
48,12754.0,0
50,13288.0,0
52,13821.0,0
54,14343.0,0
56,14879.0,0
58,15405.000000000002,0
60,15938.0,0
62,16472.0,0
64,17004.0,0
66,17537.0,0
68,18072.0,0
70,18596.0,0
72,19127.0,0
74,19656.0,0
76,20190.0,0
78,20723.0,0
80,21250.0,0
82,21780.0,0
84,22317.0,0
86,22856.0,0
88,23388.0,0
90,23905.0,0
92,24438.0,0
94,24972.0,0
96,25503.0,0
98,26030.0,0
100,26569.0,0
102,27105.0,0
104,27638.0,0
106,28155.0,0
108,28688.0,0
110,29222.0,0
112,29752.0,0
114,30285.0,0
116,30821.0,0
118,31344.0,0
120,31883.0,0
122,32405.0,0
124,32939.0,0
126,33472.0,0
128,33999.0,0
130,34536.0,0
132,35071.0,0
134,35605.00000000001,0
136,36127.0,0
138,36655.0,0
140,37188.0,0
142,37722.0,0
144,38255.0,0
146,38780.0,0
148,39316.0,0
150,39850.0,0
152,40386.0,0
154,40905.0,0
156,41438.0,0
158,41972.0,0
160,42505.0,0
162,43038.00000000001,0
164,43567.0,0
166,44101.0,0
168,44636.0,0
170,45155.0,0
172,45688.0,0
174,46221.0,0
176,46755.0,0
178,47288.00000000001,0
180,47817.0,0
182,48352.00000000001,0
184,48889.0,0
186,49405.0,0
188,49939.0,0
190,50471.0,0
192,51001.0,0
194,51533.0,0
196,52071.0,0
198,52605.00000000001,0
200,53125.0,0
202,53655.0,0
204,54188.0,0
206,54721.0,0
208,55249.0,0
210,55785.00000000001,0
212,56319.0,0
214,56851.0,0
216,57373.00000000001,0
218,57905.0,0
220,58439.0,0
222,58973.0,0
224,59503.0,0
226,60036.0,0
228,60572.0,0
230,61093.0,0
232,61630.0,0
234,62155.0,0
236,62688.0,0
238,63223.0,0
240,63748.00000000001,0
242,64281.00000000001,0
244,64812.0,0
246,65342.0,0
248,65873.0,0
250,66405.0,0
252,66937.0,0
254,67472.00000000001,0
256,68000.0,0
258,68530.0,0
260,69062.0,0
262,69592.0,0
264,70124.0,0
266,70655.0,0
268,71187.0,0
270,71722.00000000001,0
272,72250.0,0
274,72780.0,0
276,73312.0,0
278,73842.0,0
280,74373.0,0
282,74905.0,0
284,75436.0,0
286,75967.0,0
288,76500.0,0
290,77030.0,0
292,77562.0,0
294,78093.0,0
296,78624.0,0
298,79155.0,0
300,79686.0,0
302,80218.0,0
304,80748.0,0
306,81281.0,0
308,81812.0,0
310,82343.0,0
312,82874.0,0
314,83405.0,0
316,83936.0,0
318,84468.0,0
320,84999.0,0
322,85531.0,0
324,86061.0,0
326,86594.00000000001,0
328,87123.0,0
330,87655.0,0
332,88188.0,0
334,88721.0,0
336,89249.0,0
338,89779.0,0
340,90312.0,2
342,90843.0,0
344,91373.0,0
346,91905.0,0
348,92436.0,0
350,92967.0,0
352,93499.0,0
354,94031.0,0
356,94561.0,0
358,95092.0,0
360,95623.0,0
362,96155.0,0
364,96686.0,0
366,97217.0,0
368,97749.0,0
370,98280.0,0
372,98811.0,0
374,99342.0,0
376,99873.0,0
378,100405.0,0
380,100936.0,0
382,101467.0,0
384,101998.0,0
386,102531.0,0
388,103062.0,0
390,103592.0,0
392,104123.0,0
394,104655.0,0
396,105187.0,0
398,105718.0,0
400,106249.0,0
402,106781.0,0
404,107311.0,1
406,107842.0,0
408,108373.0,0
410,108905.0,0
412,109438.0,0
414,109967.0,0
416,110498.0,0
418,111031.0,0
420,111561.0,0
422,112099.0,0
424,112624.00000000001,0
426,113155.0,0
428,113686.0,0
430,114218.0,0
432,114750.0,0
434,115280.0,0
436,115811.0,0
438,116342.0,0
440,116874.00000000001,0
442,117405.0,0
444,117938.0,0
446,118468.0,0
448,118999.00000000001,0
450,119530.0,0
452,120061.0,0
454,120592.0,0
456,121124.00000000001,1
458,121655.0,0
460,122186.0,0
462,122718.0,0
464,123249.00000000001,0
466,123781.0,0
468,124312.0,0
470,124842.0,0
472,125374.00000000001,0
474,125905.0,0
476,126436.0,0
478,126967.0,0
480,127498.0,0
482,128030.0,0
484,128561.0,0
486,129092.00000000001,0
488,129624.0,0
490,130154.0,0
492,130686.0,0
494,131217.0,0
496,131748.0,0
498,132280.0,0
500,132811.0,0
502,133343.0,0
504,133881.0,0
506,134404.0,0
508,134936.0,0
510,135469.0,0
512,135999.0,0
514,136529.0,0
516,137061.0,0
518,137592.0,0
520,138123.0,0
522,138654.0,0
524,139187.0,0
526,139718.0,0
528,140249.0,0
530,140780.0,0
532,141312.0,0
534,141843.0,0
536,142374.0,0
538,142905.0,0
540,143436.0,0
542,143968.0,0
544,144498.0,0
546,145030.0,0
548,145561.0,0
550,146093.0,0
552,146623.0,0
554,147155.0,0
556,147688.00000000003,0
558,148218.0,0
560,148749.0,0
562,149281.0,0
564,149812.0,0
566,150342.0,0
568,150885.0,0
570,151404.0,0
572,151936.0,0
574,152467.0,0
576,152998.0,0
578,153531.0,0
580,154062.0,0
582,154593.0,0
584,155124.0,0
586,155654.0,0
588,156188.00000000003,0
590,156717.0,0
592,157249.0,0
594,157780.0,0
596,158312.0,0
598,158843.0,0
600,159379.0,0
602,159911.0,0
604,160440.0,0
606,160968.0,0
608,161502.0,0
610,162031.0,0
612,162562.0,0
614,163107.0,0
616,163638.0,0
618,164167.0,0
620,164686.0,0
622,165218.0,0
624,165750.0,0
626,166292.0,0
