frame,cx,cy,diam
480,592.6,276.1,14.8
482,668.0,298.0,8.2
484,594.3,277.2,10.5
486,668.5,293.8,18.6
488,593.2,277.4,13.2
490,668.0,293.5,18.0
492,823.5,144.2,16.6
494,823.5,144.2,16.6
496,591.1,276.5,10.8
498,591.6,277.1,12.5
500,824.8,144.0,13.0
502,824.4,144.6,18.9
504,824.4,144.0,18.9
506,827.9,145.2,13.6
508,829.8,146.5,9.5
510,832.5,145.7,8.3
512,834.4,143.4,12.1
514,835.5,143.3,13.0
516,835.3,143.1,12.5
518,834.6,142.9,12.3
520,834.0,144.2,10.4
522,831.8,143.5,15.0
524,830.2,144.8,13.0
526,827.8,145.6,13.1
528,826.6,145.5,13.0
530,826.9,145.5,13.0
532,827.8,144.6,11.2
534,572.0,411.2,14.8
536,829.9,144.8,11.4
538,828.0,144.6,10.8
540,826.9,145.3,12.1
542,562.4,409.3,15.7
544,511.5,394.8,16.0
546,718.4,391.6,11.0
548,823.4,143.7,7.1
550,563.0,410.5,20.2
552,823.6,146.0,11.4
554,823.6,146.0,11.4
556,823.9,145.7,10.7
558,824.2,145.6,12.1
560,585.7,403.8,16.3
562,699.1,340.0,10.5
564,554.5,409.6,18.7
566,834.0,146.7,12.6
568,725.5,404.7,11.0
570,593.6,400.1,21.0
572,837.1,146.0,13.0
574,836.9,146.7,13.1
576,835.2,147.4,13.0
578,592.2,358.8,13.5
580,561.5,361.7,16.5
582,687.8,264.8,16.8
584,303.4,71.1,7.1
586,678.0,238.8,14.9
588,647.0,206.8,9.2
590,668.2,210.4,10.2
592,662.2,178.0,18.0
594,922.2,229.3,12.4
596,759.2,141.0,12.4
598,924.5,242.0,12.2
600,1032.8,168.0,22.6
602,1017.4,107.6,12.5
604,647.0,337.7,14.4
606,682.6,340.0,10.3
608,794.2,307.4,8.5
610,321.5,149.1,12.6
612,502.8,153.5,9.1
614,454.4,202.1,13.2
616,301.9,83.4,8.6
618,581.9,196.3,21.5
620,631.1,218.7,10.1
622,730.4,340.2,9.2
624,650.0,266.0,8.5
626,399.0,140.2,15.3
628,411.0,149.4,9.1
630,416.8,151.3,9.5
632,567.1,388.1,11.7
634,424.4,149.3,9.1
636,569.7,324.8,16.8
638,440.4,149.7,9.1
640,649.1,348.1,12.1
642,424.5,147.5,11.9
644,400.4,143.5,12.7
646,371.2,139.6,12.4
648,344.7,134.8,11.4
650,328.8,132.2,13.0
652,323.3,129.7,15.5
654,327.6,129.6,16.8
656,592.5,401.6,13.7
658,346.5,135.1,15.1
660,538.1,244.2,14.8
662,363.7,138.3,17.0
664,373.4,139.1,17.6
666,708.2,290.6,9.8
668,566.8,374.2,16.6
670,563.7,225.9,10.2
672,567.9,225.7,11.0
674,569.2,338.3,12.8
676,775.2,276.0,7.1
678,594.4,360.0,9.2
680,525.0,327.7,14.9
682,588.1,371.2,14.6
684,588.9,368.7,13.0
686,616.8,354.0,14.3
688,629.7,358.6,13.0
690,452.4,146.5,9.5
692,446.7,145.6,11.4
694,435.4,145.5,10.2
696,586.6,331.2,13.3
698,727.3,281.4,15.7
700,490.2,289.5,14.8
702,507.5,299.7,13.7
704,632.9,216.6,17.0
706,297.7,315.7,13.9
708,563.1,251.9,13.1
710,565.7,183.5,11.4
712,593.4,164.0,9.8
714,560.1,154.4,8.5
716,801.8,209.5,10.2
718,398.6,301.3,14.0
720,489.6,132.8,8.2
722,327.0,337.9,8.2
724,558.7,156.8,7.7
726,695.4,394.8,14.8
728,584.3,196.1,12.6
730,580.1,329.3,12.3
732,593.1,225.3,9.4
734,443.6,274.3,17.5
736,617.6,244.6,14.6
738,651.1,347.0,8.2
740,438.0,275.7,14.0
742,522.0,344.0,13.9
744,532.5,345.6,11.7
746,534.0,388.2,15.3
748,642.4,202.7,16.4
750,661.1,196.0,16.5
752,678.1,193.9,16.6
754,693.9,196.5,15.2
756,699.0,200.4,10.8
758,465.0,239.1,13.0
760,645.7,192.2,8.5
762,630.4,184.1,10.2
764,625.2,174.9,14.6
766,623.1,172.7,10.5
768,624.1,171.6,11.2
770,623.2,174.9,16.1
772,645.5,183.1,13.9
774,524.6,208.9,10.3
776,321.0,308.0,10.2
778,347.5,297.8,10.8
780,136.5,664.4,11.4
