frame,cx,cy,diam
2002,852.4,202.4,11.4
2004,1047.4,262.6,7.6
2006,317.4,245.1,8.6
2008,990.3,335.6,15.0
2010,893.4,259.2,7.3
2012,1011.0,333.8,12.4
2014,698.6,537.5,12.5
2016,1020.3,129.5,16.6
2018,417.4,418.3,11.0
2020,931.8,344.6,10.4
2022,716.3,297.5,15.7
2024,806.1,371.2,8.5
2026,703.0,324.9,10.1
2028,708.5,321.1,10.4
2030,670.8,267.2,10.4
2032,735.3,243.7,14.8
2034,737.3,233.8,16.0
2036,700.1,232.8,15.2
2038,672.1,232.9,15.6
2040,228.1,71.0,13.9
2042,225.5,71.4,12.4
2044,232.6,67.7,14.3
2046,646.8,256.0,10.4
2048,645.8,256.2,12.7
2050,638.2,257.6,10.8
2052,721.1,345.4,19.3
2054,702.9,345.9,16.5
2056,583.2,363.6,13.2
2058,585.5,365.5,18.2
2060,586.8,366.4,16.3
2062,823.6,146.0,12.5
2064,823.5,145.7,12.7
2066,558.8,373.7,12.4
2068,764.0,467.4,13.2
2070,731.3,364.1,16.6
2072,822.0,145.1,14.5
2074,822.0,145.1,14.5
2076,822.0,145.1,14.5
2078,822.3,145.0,13.9
2080,823.1,145.3,15.3
2082,822.3,144.5,15.3
2084,822.4,144.5,15.4
2086,822.4,144.5,15.4
2088,823.3,144.8,15.4
2090,825.7,143.8,15.3
2092,583.5,364.9,14.0
2094,582.5,364.3,13.7
2096,582.8,364.6,13.9
2098,583.4,363.8,13.6
2100,826.0,142.7,16.7
2102,825.0,143.1,17.0
2104,823.8,143.6,17.0
2106,822.3,141.7,12.2
2108,820.3,141.6,10.1
2110,578.2,370.8,14.3
2112,829.7,377.8,10.8
2114,965.7,491.2,12.5
2116,738.8,546.7,10.5
2118,644.1,357.2,8.0
2120,660.3,427.5,13.9
2122,522.4,396.9,14.6
2124,669.4,306.5,7.3
2126,760.2,468.3,14.4
2128,595.1,292.8,7.6
2130,731.6,325.2,11.2
2132,530.6,390.9,8.0
2134,739.8,542.5,9.3
2136,824.3,511.5,7.6
2138,824.9,511.0,8.9
2140,587.7,365.6,16.1
2142,530.9,392.9,18.3
2144,531.8,391.8,17.1
2146,591.4,365.2,15.3
2148,590.1,366.1,14.4
2150,540.9,395.4,17.5
2152,443.8,487.8,8.5
2154,782.3,119.8,11.4
2156,820.1,145.0,8.0
2158,880.2,320.5,12.0
2160,827.6,137.5,8.2
2162,890.8,308.4,13.0
2164,678.1,354.2,11.9
2166,718.1,348.3,14.8
2168,959.0,316.7,10.4
2170,687.5,357.7,12.5
2172,835.4,312.9,13.1
2174,672.4,258.5,7.0
2176,664.5,354.1,12.0
2178,559.4,267.2,7.1
2180,501.9,504.1,8.9
2182,727.8,386.4,9.2
2184,573.4,369.8,16.3
2186,749.8,392.1,20.8
2188,708.5,559.0,8.0
2190,566.7,375.0,8.5
2192,787.3,448.0,15.1
2194,565.2,386.3,7.0
2198,588.2,367.9,8.0
2200,789.3,456.2,9.2
2202,834.0,322.6,21.8
2204,589.1,366.9,10.1
2206,589.6,365.0,10.8
2208,589.5,365.8,15.0
2210,590.0,366.6,16.3
2212,537.3,398.6,9.8
2214,592.0,364.4,15.1
2216,538.0,398.6,9.2
2218,592.3,373.4,21.4
2220,539.1,393.0,14.8
2222,597.5,393.0,12.4
2224,610.7,303.5,11.7
2226,584.0,286.7,12.6
2228,603.5,397.8,8.9
2230,730.5,408.1,14.3
2232,814.4,160.4,7.3
2234,577.2,290.4,21.2
2236,575.4,290.4,17.2
2238,596.1,296.3,12.1
2240,779.9,159.7,7.3
2242,766.1,160.2,7.3
2244,605.0,300.0,8.2
2246,735.3,162.4,12.1
2248,576.4,304.7,12.7
2250,721.2,164.0,11.0
2252,718.0,165.7,10.8
2254,715.1,166.6,11.2
2256,709.6,168.1,11.2
2258,704.0,169.3,12.1
2260,697.7,172.3,10.3
2262,687.3,175.6,14.0
2264,671.6,181.1,13.9
2266,655.9,185.0,16.0
2268,651.9,185.5,16.6
2270,668.2,178.5,13.0
2272,702.7,166.8,12.2
2274,735.0,156.5,10.2
2276,764.2,148.1,10.4
2278,585.8,260.3,10.4
2280,835.3,132.6,10.8
2282,887.8,124.7,10.8
2284,1057.0,294.0,8.2
2286,889.3,202.6,9.2
2288,648.5,352.5,14.1
2290,1067.3,162.1,8.5
2292,580.6,382.9,8.1
2294,553.0,325.2,9.5
2296,645.5,349.7,8.6
2298,719.6,347.2,8.9
2300,627.5,348.2,13.3
2302,292.9,174.3,9.3
2304,371.3,183.6,8.9
2306,145.8,286.2,15.2
2308,332.1,212.9,10.3
2310,282.5,218.6,8.5
2312,345.7,197.7,12.7
2314,734.7,357.0,22.6
2316,741.9,433.9,14.5
2318,295.3,151.3,8.6
2320,667.1,163.0,8.7
2322,900.3,169.1,8.9
2324,811.4,227.9,15.6
2326,659.7,205.8,12.6
2328,731.8,242.2,8.5
2330,583.8,214.9,7.6
2332,551.4,212.6,13.6
2334,630.6,252.6,13.8
2336,646.9,249.1,13.6
2338,595.9,255.2,22.1
2340,947.3,324.1,12.7
2342,584.0,308.0,10.0
2344,546.2,304.7,9.5
2346,545.8,306.7,8.1
2348,472.5,273.4,8.1
2350,884.2,352.6,11.0
2352,855.1,339.7,9.1
2354,626.5,270.5,7.3
2356,968.0,128.8,7.7
2358,755.9,216.7,10.8
2360,889.6,194.4,11.7
2362,1006.3,181.2,16.3
2364,1111.2,174.6,14.3
2366,461.1,373.3,14.5
2368,532.5,339.6,14.9
2370,780.2,418.3,13.9
2372,471.1,175.4,16.8
2374,550.1,140.0,15.1
2376,568.4,137.7,12.0
2378,623.0,143.8,10.4
2380,673.1,157.3,10.8
2382,452.4,162.0,8.3
2384,500.6,176.4,7.2
2386,574.8,178.4,17.1
2388,488.4,214.4,15.2
2390,643.8,194.1,10.0
2392,534.9,228.5,15.8
2394,566.6,235.8,10.8
2396,539.1,255.6,8.1
2398,410.8,291.3,11.2
2400,544.6,275.6,8.9
2402,443.2,298.8,13.9
2404,487.6,279.0,11.4
2406,656.6,232.8,9.8
2408,668.5,215.9,11.6
2410,663.4,214.9,11.3
2412,481.1,293.9,17.0
2414,528.8,299.9,17.5
2416,612.0,308.1,14.3
2418,455.7,136.8,10.3
2420,460.5,137.7,10.3
2422,468.0,300.1,13.3
2424,431.1,132.9,8.0
2426,726.1,241.4,8.9
2428,402.5,417.7,15.5
2430,550.0,279.4,18.4
2432,344.7,332.9,15.2
2434,611.3,542.8,16.1
2436,497.5,467.9,14.4
2438,397.0,341.9,13.0
2440,604.0,309.6,13.9
2442,455.8,149.7,12.5
2444,456.1,150.2,13.1
2446,456.0,149.8,13.6
2448,456.6,149.2,13.6
2450,456.6,149.2,13.6
2452,456.6,149.2,13.6
2454,456.6,149.2,13.6
2456,456.6,149.2,13.6
2458,454.7,149.1,12.2
2460,452.4,148.7,13.2
2462,448.6,146.6,13.3
2464,446.5,146.2,13.3
2466,445.1,146.4,13.3
2468,447.9,144.5,16.2
2470,449.1,144.5,16.4
2472,450.6,144.6,15.0
2474,451.5,144.8,15.8
2476,452.6,145.9,16.0
2478,456.5,419.0,15.3
2480,459.1,145.9,16.4
2482,460.0,147.0,15.8
2484,461.5,147.4,15.3
2486,461.8,147.2,16.6
2488,470.0,128.8,18.4
2490,461.4,147.2,15.0
2492,461.4,147.2,15.0
2494,461.4,147.2,15.0
2496,461.4,147.2,15.0
2498,458.9,148.7,13.9
2500,634.9,440.9,14.6
2502,459.4,148.3,12.6
2504,460.1,147.5,12.2
2506,850.6,618.4,15.4
2508,432.4,484.5,11.0
2510,481.6,499.3,17.7
2512,487.2,499.5,9.1
2514,843.9,336.0,12.6
2516,405.6,483.4,10.4
2518,467.6,485.0,16.3
2520,468.4,485.0,18.2
2522,468.3,485.9,15.4
2524,467.5,487.7,16.5
2526,494.7,494.2,14.0
2528,732.3,390.7,13.0
2530,495.4,490.3,16.0
2532,731.5,392.1,8.0
2534,512.1,474.8,14.1
2536,439.9,477.2,14.9
2538,809.9,429.9,12.7
2540,449.6,150.5,7.0
2542,397.9,476.2,11.0
2544,844.8,411.3,15.0
2546,440.2,478.4,13.2
2548,497.8,515.6,16.1
2550,451.9,148.4,11.7
2552,448.7,150.9,12.1
2554,443.2,149.0,10.2
2556,430.2,149.0,12.2
2558,408.9,146.2,11.4
2560,385.5,141.2,9.0
2562,661.7,266.2,7.1
2564,337.0,139.1,9.4
2566,468.5,296.6,9.3
2568,404.9,306.6,15.7
2570,203.0,345.5,9.0
2572,730.0,276.8,10.5
2574,274.5,137.3,8.3
2576,561.7,239.2,7.3
2578,772.8,461.1,14.3
2580,187.4,320.8,14.6
2582,122.0,339.8,12.2
2584,760.4,476.1,13.2
2586,794.6,488.0,10.5
2588,318.8,312.8,13.6
2590,705.4,400.6,10.8
2592,855.6,487.8,15.1
2594,509.9,292.5,16.1
2596,442.8,298.6,17.2
2598,312.5,130.5,12.1
2600,316.5,131.4,13.4
2602,653.6,268.7,9.5
2604,235.9,333.3,10.4
2606,927.4,327.0,10.8
2608,872.8,308.9,10.0
2610,102.6,87.9,9.6
2612,123.9,251.5,9.0
2614,708.9,245.7,9.0
2616,970.9,481.7,10.8
2618,423.4,200.4,21.8
2620,946.6,373.2,10.8
2622,309.2,165.8,10.3
2624,853.0,364.8,8.5
2626,297.8,264.2,11.7
2628,490.8,334.1,8.2
2630,517.7,454.5,14.8
2632,494.7,449.7,14.9
2634,475.0,311.6,9.4
2636,1123.7,149.8,16.1
2638,1079.0,137.2,12.5
2640,1081.2,150.7,14.8
2642,1046.3,155.1,13.6
2644,1002.0,169.2,14.3
2646,979.9,181.3,14.3
2648,900.1,187.1,18.4
2650,873.6,190.5,8.1
2652,938.1,242.5,18.1
2654,933.5,305.5,7.3
2656,1231.8,347.9,13.0
2658,858.3,245.8,10.2
2660,864.9,248.2,15.8
2662,610.8,457.5,7.3
2664,1158.0,342.0,12.2
2666,576.3,361.6,7.4
2668,597.4,465.7,9.5
2670,1165.8,358.0,15.8
2672,889.0,300.3,10.0
2674,576.5,453.0,7.0
2676,857.0,293.0,12.1
2678,1026.6,250.1,11.2
2680,619.6,400.9,8.5
2682,956.0,221.1,8.2
2684,602.9,408.2,7.4
2686,802.5,178.0,13.0
2688,786.8,219.1,8.6
2690,722.2,244.4,8.5
2692,682.0,243.0,12.2
2694,723.0,309.3,15.0
2696,751.3,159.7,13.4
2698,826.9,371.8,11.2
2700,550.4,299.3,11.3
2702,526.6,294.8,13.3
2704,526.3,293.5,13.3
2706,525.5,293.0,11.2
2708,526.1,291.5,15.7
2710,741.8,165.2,12.2
