track_id,frame,cx,cy,diam,circ,track_hits,track_age
2,32,4.622489959839357,232.35742971887547,9.849058151245117,0.5447143444282282,3,0
1,32,1272.871186440678,235.6,18.765972137451172,0.5332857814322453,3,0
1,34,1259.1419700818515,227.1021732994637,52.478763580322266,0.2730001161999753,4,0
7,34,627.4035087719299,368.5818713450292,17.000200271606445,0.2511174537099412,3,0
0,34,548.0894308943089,411.7317073170732,7.615972995758057,0.4500006993532648,3,0
2,34,4.622489959839357,232.35742971887547,9.849058151245117,0.5447143444282282,3,1
2,36,4.485294117647059,231.76960784313724,9.849058151245117,0.4462719930255364,4,0
0,36,548.1901663051337,413.90166305133766,22.847518920898438,0.5622156842561242,4,0
1,36,1250.7222222222222,222.30888888888884,12.53016471862793,0.6082159733800852,5,0
8,36,1247.2162030258662,247.93704245973646,30.165328979492188,0.47784241270280586,3,0
7,36,645.6644591611479,389.67328918322295,12.649311065673828,0.6007908709733562,4,0
6,38,602.7008547008546,404.95299145299145,10.647287368774414,0.43802285758101855,3,0
0,38,563.0158102766799,403.4242424242424,23.174137115478516,0.29991176290514704,5,0
4,38,1154.2997601918464,616.8920863309353,22.847518920898438,0.16951839503601143,3,0
12,38,495.4483568075117,401.9225352112676,21.023996353149414,0.20452100693632758,3,0
2,38,50.095238095238095,286.26666666666665,16.65924644470215,0.160571127618003,5,0
10,38,1256.1652661064425,715.9019607843137,15.264537811279297,0.32513203803429824,3,0
1,38,1250.7222222222222,222.30888888888884,12.53016471862793,0.6082159733800852,5,1
8,38,1247.2162030258662,247.93704245973646,30.165328979492188,0.47784241270280586,3,1
7,38,645.6644591611479,389.67328918322295,12.649311065673828,0.6007908709733562,4,1
4,40,1158.9375,558.7083333333334,15.264537811279297,0.13114569601383458,4,0
6,40,602.7008547008546,404.95299145299145,10.647287368774414,0.43802285758101855,3,1
0,40,563.0158102766799,403.4242424242424,23.174137115478516,0.29991176290514704,5,1
12,40,495.4483568075117,401.9225352112676,21.023996353149414,0.20452100693632758,3,1
2,40,50.095238095238095,286.26666666666665,16.65924644470215,0.160571127618003,5,1
10,40,1256.1652661064425,715.9019607843137,15.264537811279297,0.32513203803429824,3,1
1,40,1250.7222222222222,222.30888888888884,12.53016471862793,0.6082159733800852,5,2
8,40,1247.2162030258662,247.93704245973646,30.165328979492188,0.47784241270280586,3,2
7,40,645.6644591611479,389.67328918322295,12.649311065673828,0.6007908709733562,4,2
16,42,989.873417721519,586.2700421940928,25.96170997619629,0.2984699532508621,3,0
29,42,1001.1249540610069,265.27967658948916,43.01182556152344,0.3121128564892709,3,0
4,42,1158.9375,558.7083333333334,15.264537811279297,0.13114569601383458,4,1
6,42,602.7008547008546,404.95299145299145,10.647287368774414,0.43802285758101855,3,2
0,42,563.0158102766799,403.4242424242424,23.174137115478516,0.29991176290514704,5,2
12,42,495.4483568075117,401.9225352112676,21.023996353149414,0.20452100693632758,3,2
2,42,50.095238095238095,286.26666666666665,16.65924644470215,0.160571127618003,5,2
10,42,1256.1652661064425,715.9019607843137,15.264537811279297,0.32513203803429824,3,2
1,42,1250.7222222222222,222.30888888888884,12.53016471862793,0.6082159733800852,5,3
8,42,1247.2162030258662,247.93704245973646,30.165328979492188,0.47784241270280586,3,3
7,42,645.6644591611479,389.67328918322295,12.649311065673828,0.6007908709733562,4,3
33,44,1045.1681415929204,632.2699115044247,16.801563262939453,0.5096701267099617,3,0
16,44,996.5176811594202,591.0753623188406,37.25572967529297,0.26373138785432015,4,0
34,44,1001.5392156862744,555.7058823529412,7.280309677124023,0.4083751754570833,3,0
15,44,1267.067599067599,542.5081585081584,28.8446102142334,0.10941750594279287,3,0
29,44,952.3806451612903,276.5806451612903,37.855186462402344,0.34429526184959686,4,0
4,44,1158.9375,558.7083333333334,15.264537811279297,0.13114569601383458,4,2
6,44,602.7008547008546,404.95299145299145,10.647287368774414,0.43802285758101855,3,3
0,44,563.0158102766799,403.4242424242424,23.174137115478516,0.29991176290514704,5,3
12,44,495.4483568075117,401.9225352112676,21.023996353149414,0.20452100693632758,3,3
2,44,50.095238095238095,286.26666666666665,16.65924644470215,0.160571127618003,5,3
10,44,1256.1652661064425,715.9019607843137,15.264537811279297,0.32513203803429824,3,3
1,44,1250.7222222222222,222.30888888888884,12.53016471862793,0.6082159733800852,5,4
8,44,1247.2162030258662,247.93704245973646,30.165328979492188,0.47784241270280586,3,4
7,44,645.6644591611479,389.67328918322295,12.649311065673828,0.6007908709733562,4,4
35,46,1051.3897435897436,583.2410256410257,15.524374961853027,0.1716979983122742,3,0
14,46,1240.224919093851,568.0129449838187,24.083389282226562,0.2261060234475413,3,0
