frame,x,y
0,844.3001556396484,336.82818174362177
8,533.4762573242188,517.202639579773
16,836.2358093261719,322.37206220626825
24,79.69937324523917,327.4464797973633
32,136.501235961914,320.7766199111938
40,773.1797790527344,345.9237027168274
48,727.7925109863281,368.20125102996826
56,566.7691040039061,233.95583152770993
64,682.4641418457031,244.1061687469482
72,747.6434326171875,239.45629119873047
80,1204.9131774902344,258.33994388580317
88,771.4685821533203,391.8285942077637
96,702.0796966552734,380.3875780105591
104,688.6134338378906,385.89928150177
112,163.77422332763672,691.8016147613524
120,1252.8195953369138,649.8394632339476
128,198.2588195800781,686.4328193664551
136,31.076035499572736,673.8893938064574
144,1046.9746398925781,304.8389339447021
152,950.0836181640625,689.8136043548583
160,246.77423477172852,165.9888052940368
168,806.5290832519531,360.9825897216797
176,610.5580902099609,283.6766695976257
184,755.5659484863281,250.32297134399414
192,535.6847381591796,109.9423205852508
200,486.82434082031244,297.6231050491333
208,883.8645172119141,695.7087564468384
216,960.8293151855469,248.86215448379517
224,164.9008560180663,160.1328992843628
232,957.6945495605469,685.0648927688599
240,940.3811645507812,685.9458589553833
248,431.04064941406244,681.9146919250488
256,957.6605224609375,670.3477191925049
264,779.9180603027344,665.1591682434083
272,247.00368881225586,292.3333168029785
280,999.7381591796875,239.36020374298096
288,634.1641998291016,205.4929161071777
296,489.59449768066406,402.76153564453125
304,611.2006378173828,341.9100880622864
312,161.9034385681152,672.0413303375244
320,668.1089782714844,217.97656059265137
328,517.140007019043,217.0843720436096
336,817.5331115722656,217.37033843994138
344,839.8028564453125,318.41535329818726
352,920.8015441894531,193.90281200408933
360,1270.2628326416016,236.37732982635498
368,1046.195068359375,196.8324065208435
376,936.5135192871094,172.68694639205933
384,548.0933380126953,396.2230396270752
392,112.87058830261222,202.30861902236936
400,1133.5835266113281,590.4285764694214
408,545.5244064331054,211.09291791915894
416,506.62658691406244,325.9596562385559
424,1272.8247070312498,694.3259382247924
432,640.2320861816406,288.30272912979126
440,632.736930847168,322.1334743499756
448,639.2600250244141,395.44790267944336
