frame,timestamp_ms,signal
0,0.0,0
2,530.0,0
4,1061.0,0
6,1594.0,0
8,2125.0,0
10,2655.0000000000005,0
12,3189.0,0
14,3722.0,0
16,4255.0,0
18,4788.0,0
