frame,timestamp_ms,x,y,conf
0,0.0,1230.909,297.76477,0.0039394633
4,1066.6666666666667,1233.4203,297.33044,0.004196234
8,2133.3333333333335,1232.9508,297.0276,0.0022084045
12,3200.0,1137.3713,500.00757,0.01072552
16,4266.666666666667,1136.5029,500.8015,0.018294597
20,5333.333333333333,1136.3098,500.8894,0.024756037
24,6400.0,1137.2832,499.69714,0.03894404
28,7466.666666666667,1138.4622,499.51062,0.1869662
32,8533.333333333334,1234.1355,280.4617,0.009586707
36,9600.0,1110.1044,242.41614,0.05469885
56,14933.333333333334,21.097586,593.65515,0.02574577
60,16000.0,1177.9495,511.0744,0.035495684
64,17066.666666666668,1150.6201,526.31934,0.0025227703
72,19200.0,148.30286,381.28845,0.008155114
92,24533.333333333332,857.7977,84.53186,0.0013922415
96,25600.0,857.4309,702.90985,0.0046403175
124,33066.666666666664,1272.762,645.5294,0.0040081153
128,34133.333333333336,258.64484,483.63315,0.018785467
132,35200.0,353.7807,494.98914,0.21018012
136,36266.666666666664,441.43085,529.0918,0.02697366
140,37333.333333333336,232.3517,392.11914,0.004988697
144,38400.0,268.95587,433.59607,0.012256033
148,39466.666666666664,94.03584,504.75598,0.0066948296
152,40533.333333333336,873.831,164.09467,0.008805938
156,41600.0,745.51416,390.8067,0.0026294445
160,42666.666666666664,682.8447,431.9355,0.0030487464
164,43733.333333333336,682.6809,469.3033,0.022431483
168,44800.0,728.3286,245.81702,0.003321201
172,45866.666666666664,657.5133,297.42676,0.002631033
180,48000.0,936.73047,704.57666,0.004644228
184,49066.666666666664,1010.5256,284.18182,0.07100186
188,50133.333333333336,909.44165,443.15204,0.16752993
192,51200.0,986.6703,190.74908,0.022509348
196,52266.666666666664,879.7104,534.33777,0.002234443
200,53333.333333333336,545.8991,465.7438,0.006226483
204,54400.0,748.2711,518.547,0.0031053454
208,55466.666666666664,779.1454,181.76794,0.0070635877
212,56533.333333333336,969.9015,588.2065,0.0022617027
216,57600.0,1006.55383,589.6428,0.0036929038
220,58666.666666666664,726.8295,393.19287,0.0097695105
224,59733.333333333336,1131.6573,340.0095,0.058525506
228,60800.0,927.26404,163.16968,0.008358031
232,61866.666666666664,892.2061,165.3999,0.011518101
236,62933.333333333336,874.4061,165.61388,0.005575622
240,64000.0,1146.022,470.81525,0.0056843194
244,65066.666666666664,1003.8591,331.80017,0.2826494
248,66133.33333333333,981.2933,162.36386,0.0657389
252,67200.0,1129.1814,172.66199,0.035396367
256,68266.66666666667,1189.7358,413.81012,0.0046194326
260,69333.33333333333,460.16132,283.89734,0.008285531
264,70400.0,436.50922,369.33304,0.0051275417
268,71466.66666666667,728.62177,456.4303,0.001333457
272,72533.33333333333,678.22375,457.06683,0.0020073766
276,73600.0,249.72891,376.37518,0.0028829034
284,75733.33333333333,782.0004,540.57825,0.0050982195
288,76800.0,793.312,547.7661,0.009745699
292,77866.66666666667,706.59595,304.11047,0.002274046
296,78933.33333333333,813.4111,63.214615,0.0013054288
300,80000.0,790.5472,318.77713,0.05044069
304,81066.66666666667,676.94666,590.88464,0.0034419731
308,82133.33333333333,872.6636,371.63812,0.0019087855
316,84266.66666666667,619.0894,425.21265,0.002184887
328,87466.66666666667,389.34985,543.29474,0.0057047005
332,88533.33333333333,390.43933,543.3961,0.0040493635
336,89600.0,390.55725,543.9055,0.005432673
344,91733.33333333333,486.0973,374.52673,0.012566611
348,92800.0,385.32544,345.0155,0.0046215137
356,94933.33333333333,465.5689,190.03403,0.0049068886
360,96000.0,743.2499,645.7405,0.0097909
364,97066.66666666667,594.3673,545.85236,0.0033007981
368,98133.33333333333,159.47485,468.0398,0.003129284
384,102400.0,467.20483,397.0077,0.035881322
392,104533.33333333333,910.6392,506.99548,0.0045739575
396,105600.0,580.43005,248.94781,0.027709702
400,106666.66666666667,504.20233,60.254913,0.0023607765
408,108800.0,631.619,331.04736,0.10074488
412,109866.66666666667,1064.9797,494.89783,0.002704059
416,110933.33333333333,1048.1133,357.36597,0.009252488
420,112000.0,940.73975,379.29675,0.007322207
424,113066.66666666667,955.9092,506.99603,0.0015529705
428,114133.33333333333,491.8056,330.77698,0.0021294663
432,115200.0,518.8457,335.59283,0.024964338
436,116266.66666666667,545.57874,340.5093,0.0039290385
448,119466.66666666667,859.4469,239.06396,0.024985982
452,120533.33333333333,1017.2162,642.3251,0.0028472373
456,121600.0,1008.4291,652.3716,0.004396413
460,122666.66666666667,556.3103,708.7238,0.007103598
464,123733.33333333333,561.4056,357.72333,0.10149939
468,124800.0,548.48773,363.5692,0.3585774
472,125866.66666666667,546.3999,363.83484,0.14350636
476,126933.33333333333,545.8545,363.9242,0.1688401
480,128000.0,99.09558,146.9634,0.0048212563
484,129066.66666666667,540.78845,367.87622,0.022312114
488,130133.33333333333,542.1964,366.68658,0.015740493
492,131200.0,99.3504,148.23062,0.0024812568
496,132266.66666666666,99.28116,148.35933,0.0017083952
500,133333.33333333334,842.326,357.95874,0.0044806977
