frame,timestamp_ms,ball_x_px,ball_y_px,ball_conf,ball_x_smooth,ball_y_smooth
0,0.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
1,264.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
2,530.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
3,797.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
4,1061.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
5,1327.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
6,1594.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
7,1858.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
8,2125.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
9,2389.0000000000005,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
10,2655.0000000000005,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
11,2921.0000000000005,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
12,3189.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
13,3452.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
14,3722.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
15,3989.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
16,4255.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
17,4522.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
18,4788.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
19,5055.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
20,5312.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
21,5580.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
22,5849.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
23,6120.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
24,6387.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
25,6640.000000000001,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
26,6905.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
27,7171.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
28,7438.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
29,7705.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
30,7972.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
31,8238.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
32,8505.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
33,8772.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
34,9030.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
35,9305.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
36,9563.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
37,9830.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
38,10095.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
39,10364.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
40,10629.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
41,10895.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
42,11155.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
43,11422.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
44,11689.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
45,11955.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
46,12218.0,353.78070068359375,494.9891357421875,,353.78070068359375,494.9891357421875
