frame,x,y,dist_from_hoop_ft,shot_type,track_hits,track_score
36,4.485294117647059,231.76960784313724,0.7891002316662585,2PT,9,0.3729699186782303
36,1250.7222222222222,222.30888888888884,1.6346877785930818,2PT,8,0.5609601265712204
54,605.2457912457912,314.037037037037,0.39689353978536207,2PT,16,0.48427914050707055
38,563.0158102766799,403.4242424242424,0.41555535821577855,2PT,8,0.5914831018512687
36,1247.2162030258662,247.93704245973646,1.626758075362655,2PT,6,0.75
38,602.7008547008546,404.95299145299145,0.47562141579235606,2PT,6,0.525
74,1202.7898550724638,517.2971014492754,1.6231260066621012,2PT,25,0.3755414618686412
38,495.4483568075117,401.9225352112676,0.3319213526851313,2PT,6,0.4272605034681638
38,1256.1652661064425,715.9019607843137,1.8731104860974381,2PT,6,0.7125660190171491
48,992.5249042145592,530.9923371647509,1.2532910864882447,2PT,11,0.5679692925404768
58,895.1234567901234,242.4320987654321,0.9428653310976697,2PT,14,0.44750208357207866
56,1101.4398682042834,591.3020318506315,1.4948034668424257,2PT,13,0.5609458998064163
44,1001.5392156862744,555.7058823529412,1.2902272522694525,2PT,13,0.4343673482585396
50,1277.5227272727273,514.4318181818181,1.7599170058424818,2PT,9,0.549182270951312
52,1062.0871794871794,521.3128205128204,1.3693346538586941,2PT,9,0.5723158963148535
46,1240.224919093851,568.0129449838187,1.7246593231705927,2PT,6,0.43805301172377065
56,1123.3501773049645,416.7225177304964,1.4216467062788842,2PT,11,0.5672216052766725
46,1158.4547461368652,605.4657836644591,1.6066111753706755,2PT,14,0.5276801934119921
48,898.0,312.0,0.9548600411543254,2PT,18,0.5702507032299073
46,1124.8121402407116,633.0230245944531,1.5720519185461075,2PT,14,0.4380846531410719
58,868.1047619047619,292.67619047619047,0.8932665368857389,2PT,12,0.61829607017623
48,1140.937106918239,445.06918238993705,1.467935575284221,2PT,10,0.49790514645681516
48,1086.3939393939395,655.3333333333334,1.5281673442750887,2PT,13,0.4041268937697417
52,482.22967479674793,235.59349593495932,0.14482787490545365,2PT,7,0.557622273324997
56,958.3502824858757,662.1073446327683,1.3281398195468936,2PT,9,0.6018296604488867
52,823.8645161290323,387.73978494623657,0.8450847860804682,2PT,15,0.469969895350311
58,808.4907407407408,213.66666666666666,0.778225479614869,2PT,9,0.7185905809976506
52,902.2816901408451,624.2707355242566,1.1968686072687573,2PT,6,0.6136014880548517
70,686.984496124031,324.3565891472868,0.5552728785131849,2PT,37,0.6278131852578078
