frame,timestamp_ms,x,y,conf
16,4266.666666666667,1136.5029,500.8015,0.018294597
24,6400.0,1137.2832,499.69714,0.03894404
32,8533.333333333334,1234.1355,280.4617,0.009586707
56,14933.333333333334,21.097586,593.65515,0.02574577
72,19200.0,148.30286,381.28845,0.008155114
128,34133.333333333336,258.64484,483.63315,0.018785467
136,36266.666666666664,441.43085,529.0918,0.02697366
144,38400.0,268.95587,433.59607,0.012256033
152,40533.333333333336,873.831,164.09467,0.008805938
184,49066.666666666664,1010.5256,284.18182,0.07100186
192,51200.0,986.6703,190.74908,0.022509348
200,53333.333333333336,545.8991,465.7438,0.006226483
208,55466.666666666664,779.1454,181.76794,0.0070635877
224,59733.333333333336,1131.6573,340.0095,0.058525506
232,61866.666666666664,892.2061,165.3999,0.011518101
240,64000.0,1146.022,470.81525,0.0056843194
248,66133.33333333333,981.2933,162.36386,0.0657389
264,70400.0,436.50922,369.33304,0.0051275417
288,76800.0,793.312,547.7661,0.009745699
328,87466.66666666667,389.34985,543.29474,0.0057047005
336,89600.0,390.55725,543.9055,0.005432673
344,91733.33333333333,486.0973,374.52673,0.012566611
360,96000.0,743.2499,645.7405,0.0097909
384,102400.0,467.20483,397.0077,0.035881322
408,108800.0,631.619,331.04736,0.10074488
416,110933.33333333333,1048.1133,357.36597,0.009252488
432,115200.0,518.8457,335.59283,0.024964338
448,119466.66666666667,859.4469,239.06396,0.024985982
464,123733.33333333333,561.4056,357.72333,0.10149939
472,125866.66666666667,546.3999,363.83484,0.14350636
488,130133.33333333333,542.1964,366.68658,0.015740493
512,136533.33333333334,877.56335,347.31244,0.022282155
520,138666.66666666666,554.93604,361.53113,0.05852508
528,140800.0,762.8895,64.31633,0.20413218
536,142933.33333333334,552.06055,363.88562,0.30617747
544,145066.66666666666,543.40576,367.73422,0.042705663
552,147200.0,544.4807,365.81473,0.18522951
560,149333.33333333334,694.2566,347.59558,0.011286068
576,153600.0,952.78796,677.45074,0.0068250014
584,155733.33333333334,1223.1649,470.53503,0.0066014095
600,160000.0,891.2965,359.05194,0.011077451
672,179200.0,726.3218,486.04382,0.008279299
680,181333.33333333334,287.41006,465.74786,0.010484465
696,185600.0,760.6481,706.4095,0.009423511
704,187733.33333333334,268.60278,547.6697,0.0065387785
712,189866.66666666666,314.56738,320.0313,0.008404795
728,194133.33333333334,359.96008,432.17987,0.0053256466
736,196266.66666666666,478.49963,335.3533,0.0072448156
768,204800.0,663.7213,491.08154,0.02822954
776,206933.33333333334,649.7136,539.0231,0.03225083
792,211200.0,422.07794,480.26776,0.027234923
808,215466.66666666666,338.54114,384.69745,0.008504429
824,219733.33333333334,322.895,211.80331,0.062954575
832,221866.66666666666,296.75293,275.19867,0.030724045
864,230400.0,675.986,466.07654,0.011604733
880,234666.66666666666,1069.4949,465.79907,0.010490047
896,238933.33333333334,668.1156,323.85364,0.006627873
912,243200.0,906.5696,704.4396,0.011242525
920,245333.33333333334,510.5439,333.89264,0.009065611
936,249600.0,707.74524,240.26288,0.053987395
944,251733.33333333334,1190.6125,196.3243,0.007828634
952,253866.66666666666,418.42358,476.6134,0.0129067125
992,264533.3333333333,294.5829,337.70868,0.013645413
1000,266666.6666666667,259.90146,431.06665,0.018304411
1016,270933.3333333333,399.52545,589.0752,0.009604403
1032,275200.0,531.33105,304.79175,0.014266247
1056,281600.0,609.9855,336.95544,0.014496835
1064,283733.3333333333,556.7787,359.42383,0.028639905
1072,285866.6666666667,555.6923,359.05618,0.07438822
1080,288000.0,612.9346,341.511,0.21729177
1088,290133.3333333333,601.45215,365.34485,0.017743845
1104,294400.0,1195.0112,315.14288,0.027997812
1112,296533.3333333333,1163.3413,305.1155,0.011481681
1120,298666.6666666667,672.95593,332.195,0.008094656
1128,300800.0,641.80505,339.3567,0.035990022
1136,302933.3333333333,737.9598,333.93628,0.040328383
1144,305066.6666666667,930.65576,294.4726,0.011846371
1160,309333.3333333333,1136.5054,497.34357,0.008258571
1176,313600.0,1263.1008,293.41037,0.039881445
1184,315733.3333333333,918.737,268.39825,0.014312362
1192,317866.6666666667,1156.8157,270.48608,0.011779796
1200,320000.0,1239.86,297.2036,0.048126064
1208,322133.3333333333,1232.9502,297.44427,0.015856087
1216,324266.6666666667,1137.3865,498.51227,0.011539072
1224,326400.0,1137.4324,497.97485,0.015305802
1232,328533.3333333333,1136.9565,498.50262,0.0148986
1240,330666.6666666667,1137.6365,498.38562,0.037461318
1248,332800.0,1137.5875,498.2434,0.057113957
1256,334933.3333333333,1137.6382,496.82812,0.010332788
1264,337066.6666666667,1265.9109,293.01172,0.0057853046
1272,339200.0,888.6687,270.57413,0.010878808
1288,343466.6666666667,635.31323,327.3153,0.006956736
1304,347733.3333333333,626.0086,312.3255,0.07968657
1312,349866.6666666667,596.6368,317.88412,0.0076331813
1320,352000.0,495.00476,345.3937,0.1045364
1328,354133.3333333333,531.448,297.4264,0.014722891
1336,356266.6666666667,285.6402,642.23846,0.007712364
1344,358400.0,529.24915,291.58594,0.008698966
1352,360533.3333333333,490.7127,328.18454,0.00698298
1384,369066.6666666667,555.3003,386.51636,0.009856978
1408,375466.6666666667,823.05115,477.96725,0.010717519
1424,379733.3333333333,329.88873,677.48914,0.010908443
1432,381866.6666666667,331.57892,676.6855,0.009351025
1456,388266.6666666667,324.08948,673.99585,0.008957757
