frame,cx,cy,diam,dist_from_rim,score,in_rim,rim_cx,rim_cy,rim_r
0,44.5,260.5,7.071267604827881,789.1175451097257,0.3424760954368382,False,752.0,610.0,396.0
12,279.5,231.5,7.615972995758057,607.6269414698463,0.4564717194164055,False,750.0,616.0,394.0
14,279.5,231.5,7.615972995758057,607.6269414698463,0.4564717194164055,False,750.0,616.0,394.0
16,1265.5,644.5,8.60252571105957,516.2872262607317,0.5155769625978385,False,750.0,616.0,394.0
18,1267.5,644.5,12.083246231079102,518.2841884526288,0.5486333367830153,False,750.0,616.0,394.0
20,1264.5,644.5,7.071267604827881,515.288754001094,0.5061889342445101,False,750.0,616.0,394.0
22,1270.0,253.5,8.544203758239746,633.8818896292905,0.4514211496181374,False,750.0,616.0,394.0
24,1270.0,253.5,8.544203758239746,633.8818896292905,0.4514211496181374,False,750.0,616.0,394.0
36,648.0,391.5,5.000199794769287,456.6555047297689,0.45123804707177245,False,226.0,566.0,390.0
40,220.5,395.5,5.831151485443115,170.58868661197906,0.6268028720396056,True,226.0,566.0,390.0
42,780.5,206.5,13.9285888671875,471.7822590984108,0.5357942971119173,False,328.0,340.0,398.0
44,705.5,218.5,15.811588287353516,396.5709268214199,0.5307120219849456,True,328.0,340.0,398.0
46,874.0,624.5,9.434181213378906,615.6754420959147,0.45092734889107156,False,328.0,340.0,398.0
48,613.0,250.0,10.770529747009277,298.8728826775691,0.581637897325628,True,328.0,340.0,398.0
50,809.5,390.5,8.60252571105957,484.1409918608421,0.5240416833656485,False,328.0,340.0,398.0
52,795.0,411.5,14.318021774291992,472.44179535684606,0.5173666394775916,False,328.0,340.0,398.0
54,930.5,299.0,15.264537811279297,603.8934094689228,0.42721603207110825,False,328.0,340.0,398.0
56,716.9705810546875,208.9705810546875,12.723790168762207,410.44709958186746,0.640807205479752,False,328.0,340.0,398.0
58,871.5,242.5,11.401954650878906,492.79864042020245,0.5156462752938343,False,386.0,158.0,364.0
60,940.5,181.5,5.831151485443115,554.9977477431778,0.39248988608270596,False,386.0,158.0,364.0
62,405.5,417.5,7.615972995758057,260.23162759357285,0.5857078119782797,True,386.0,158.0,364.0
68,791.5,476.5,5.831151485443115,515.6282575654674,0.43097202035776294,False,386.0,158.0,364.0
72,249.5,231.5,9.89969539642334,155.0306421324507,0.7396476108151637,True,386.0,158.0,364.0
74,281.5,233.0,12.206755638122559,220.78326476433853,0.6741090835674456,True,402.0,418.0,362.0
76,316.7089538574219,307.7686462402344,11.42224407196045,139.37544225510456,0.7695773101187011,True,402.0,418.0,362.0
78,443.0,308.75,11.236302375793457,116.69002742308359,0.7616577111862564,True,402.0,418.0,362.0
80,440.0,335.5,10.630346298217773,90.83088681720552,0.7930339570465956,True,402.0,418.0,362.0
82,443.5,316.5,11.401954650878906,109.65628116984453,0.7640270219365501,True,402.0,418.0,362.0
84,200.5,462.5,12.72812271118164,206.35527616225372,0.7410850775716968,True,402.0,418.0,362.0
86,519.5,388.5,14.212870597839355,121.14660540023398,0.764945167279855,True,402.0,418.0,362.0
88,500.5,596.5,10.295830726623535,203.87373543445952,0.6906947386694915,True,402.0,418.0,362.0
90,566.5,317.0,11.180540084838867,337.15463811135686,0.6548134632765522,True,878.0,188.0,390.0
92,461.375,350.625,11.752859115600586,447.2396239713114,0.6151773892022996,False,878.0,188.0,390.0
94,666.5,312.5,10.295830726623535,245.42310404686842,0.6306303788899359,True,878.0,188.0,390.0
96,678.5,309.5,5.831151485443115,233.58617253596157,0.5944964690016659,True,878.0,188.0,390.0
98,643.5,485.0,6.708403587341309,378.41676759890015,0.5264298598001802,True,878.0,188.0,390.0
100,341.5,468.5,11.401954650878906,605.4027585004878,0.5596888478168636,False,878.0,188.0,390.0
