frame,x,y,conf,w,h
24,620.1552734375,286.902099609375,0.5242617130279541,12.3935546875,22.8529052734375
32,563.7970581054688,578.300048828125,0.6361905932426453,14.7056884765625,26.803466796875
36,1074.96240234375,508.92547607421875,0.6776113510131836,18.537109375,37.1435546875
38,854.843505859375,284.3807373046875,0.6794886589050293,13.9583740234375,24.22955322265625
40,682.888916015625,303.0391845703125,0.40441223978996277,15.0771484375,18.970703125
44,857.5697021484375,447.0582580566406,0.28062376379966736,11.23388671875,20.29644775390625
48,683.2999267578125,330.034912109375,0.6343515515327454,11.291259765625,26.090576171875
50,649.9866333007812,287.3507080078125,0.6537907123565674,19.4049072265625,24.54730224609375
56,746.8837890625,302.8779296875,0.4549656808376312,12.1494140625,24.27685546875
58,650.33984375,226.53858947753906,0.5551095008850098,13.5361328125,17.656707763671875
66,778.622802734375,161.84283447265625,0.5694711804389954,15.120361328125,23.889984130859375
70,389.529541015625,211.7742919921875,0.22190552949905396,9.783203125,20.18096923828125
74,696.317138671875,349.9825439453125,0.556257963180542,12.093505859375,24.7159423828125
78,467.43585205078125,340.00482177734375,0.46309128403663635,13.88690185546875,20.7325439453125
80,908.2938842773438,316.91278076171875,0.5860904455184937,11.9473876953125,22.79852294921875
82,816.692138671875,432.35888671875,0.25799185037612915,18.7109375,30.3013916015625
84,646.6383056640625,447.3304443359375,0.49714842438697815,18.537109375,31.989501953125
90,531.30224609375,324.28759765625,0.2882494628429413,12.199462890625,21.8082275390625
94,506.4420166015625,390.54217529296875,0.5737404227256775,13.5274658203125,18.32794189453125
98,492.2481689453125,383.7044677734375,0.22841858863830566,16.55474853515625,23.32080078125
100,439.98260498046875,347.44049072265625,0.35845711827278137,12.5059814453125,24.33984375
102,532.865478515625,475.6014709472656,0.25673943758010864,17.08154296875,27.44793701171875
104,695.9058227539062,319.32232666015625,0.277192085981369,11.7379150390625,17.5914306640625
106,233.8336944580078,319.0509338378906,0.5873186588287354,10.640838623046875,18.38116455078125
108,487.5245056152344,371.3603210449219,0.4047996699810028,12.4197998046875,23.79815673828125
110,872.3733520507812,409.8201599121094,0.7197511792182922,11.2615966796875,20.23602294921875
112,855.4705810546875,513.8511352539062,0.22160391509532928,11.427001953125,25.9224853515625
116,1271.85595703125,544.241943359375,0.33939215540885925,13.4736328125,36.5894775390625
118,982.9042358398438,629.3963623046875,0.42222461104393005,15.5279541015625,33.838623046875
120,1192.12109375,413.07281494140625,0.3366625905036926,17.236328125,25.32574462890625
126,248.666748046875,384.5175476074219,0.7997084856033325,17.060546875,26.3602294921875
128,257.5357666015625,483.2423095703125,0.5889880657196045,16.86004638671875,24.4241943359375
130,247.4578857421875,433.705810546875,0.7945101261138916,14.67596435546875,25.20159912109375
132,352.1959228515625,494.67498779296875,0.6729108691215515,19.7332763671875,30.3251953125
134,392.69012451171875,446.88128662109375,0.7474861741065979,16.885009765625,24.90130615234375
136,441.1468811035156,529.1925659179688,0.49727383255958557,20.38311767578125,29.9764404296875
144,1143.665771484375,322.0506591796875,0.2763601839542389,12.677001953125,21.4642333984375
150,968.0616455078125,433.38299560546875,0.3609631657600403,12.48681640625,21.8504638671875
152,893.7152099609375,427.73199462890625,0.25016194581985474,16.1973876953125,21.0648193359375
156,856.8660888671875,352.1299133300781,0.5692252516746521,10.3056640625,20.15887451171875
158,1139.2353515625,365.35406494140625,0.20666135847568512,12.331787109375,20.31512451171875
164,766.8680419921875,230.5300750732422,0.3843294382095337,16.645263671875,29.543670654296875
166,823.7955322265625,188.675537109375,0.49264734983444214,14.010498046875,24.65594482421875
168,764.9402465820312,245.01898193359375,0.3360954523086548,12.0738525390625,19.4744873046875
172,889.0142211914062,128.17254638671875,0.4844266474246979,16.0850830078125,25.229095458984375
174,885.66796875,260.555908203125,0.6170387268066406,10.908447265625,20.1383056640625
178,871.4450073242188,350.1539306640625,0.6529958248138428,18.346435546875,30.49822998046875
182,1100.226318359375,378.4431457519531,0.604468822479248,14.555908203125,21.75506591796875
184,1011.63037109375,284.056884765625,0.46954092383384705,21.046630859375,26.387939453125
186,810.0352783203125,380.20611572265625,0.712311863899231,16.9708251953125,30.0958251953125
190,598.4862060546875,158.61410522460938,0.21706819534301758,10.055419921875,18.72564697265625
192,519.6909332275391,345.92529296875,0.46296218037605286,18.922088623046875,27.1240234375
194,533.4151000976562,283.93133544921875,0.220343679189682,10.7889404296875,23.646240234375
