frame,cx,cy,conf
0,917.61328125,408.684326171875,0.0002882725966628641
10,921.2694702148438,375.9425048828125,0.0007141311070881784
20,944.752685546875,339.1437683105469,0.001458263723179698
30,756.0318603515625,341.0805969238281,0.0015695281326770782
40,820.5256958007812,339.6580810546875,0.0005249995156191289
50,817.37939453125,338.018310546875,0.001523693441413343
60,532.3148193359375,310.1004638671875,0.00035059129004366696
90,659.349853515625,344.2760009765625,0.0010774050606414676
100,658.3565673828125,344.22100830078125,0.0026710566598922014
130,660.0322265625,374.75390625,0.0019187561701983213
160,695.0612182617188,402.74114990234375,0.0003893378598149866
180,626.6492919921875,439.9320068359375,0.001271414803341031
200,1165.6357421875,531.0734252929688,0.0014481877442449331
210,1013.6063232421875,631.7269287109375,0.0011929991887882352
220,530.755859375,440.02667236328125,0.001467666937969625
230,689.6536865234375,437.5509033203125,0.0024616296868771315
240,656.64013671875,403.3197021484375,0.002776507753878832
250,468.26763916015625,502.13818359375,0.0015094918198883533
260,432.07843017578125,502.843994140625,0.0017030952731147408
270,464.772216796875,437.9573974609375,0.0020297281444072723
280,401.08551025390625,437.35601806640625,0.0015448896447196603
290,338.6141357421875,434.7862243652344,0.001174977864138782
300,371.44775390625,439.4651794433594,0.001405431074090302
310,366.0009765625,469.2099914550781,0.0024399859830737114
320,435.02569580078125,500.98150634765625,0.0019159292569383979
330,430.72235107421875,501.35948181152344,0.0016409469535574317
340,437.63275146484375,535.58349609375,0.0010069486452266574
370,468.6202697753906,571.8265380859375,0.00026816126774065197
390,556.5399169921875,506.64447021484375,0.00022019866446498781
410,562.6976318359375,515.8804931640625,0.0002485917357262224
430,560.8621826171875,501.2064208984375,0.00037662588874809444
440,533.156005859375,472.59503173828125,0.0008131241193041205
460,459.2917175292969,471.53656005859375,0.00030135814449749887
650,684.41455078125,343.0760498046875,0.0014545710291713476
660,529.413330078125,373.50970458984375,0.001353049767203629
670,431.56396484375,404.4590148925781,0.00033132568933069706
680,500.3772277832031,408.90802001953125,0.001059324131347239
690,534.3028564453125,471.02154541015625,0.0002106469328282401
900,785.3983764648438,439.3097839355469,0.00028902635676786304
930,630.5111694335938,407.2550048828125,0.0002545613970141858
960,695.860595703125,437.8748779296875,0.00020025926642119884
970,818.078369140625,465.3164978027344,0.00027120840968564153
980,850.485107421875,439.1644287109375,0.0006483602337539196
990,720.7078857421875,438.6164245605469,0.00021720906079281121
1000,591.7530517578125,372.1659851074219,0.0008717327145859599
1010,403.5835876464844,439.1224670410156,0.00043817542609758675
1030,377.3345947265625,520.7348022460938,0.00025897964951582253
1040,785.2630615234375,339.4017333984375,0.00042509991908445954
1050,1109.8310546875,246.43035888671875,0.00027008308097720146
1060,759.389404296875,504.3404541015625,0.0004404745704960078
1070,333.8310241699219,403.5333251953125,0.0010761484736576676
1080,271.41131591796875,373.6765441894531,0.0003484886256046593
1090,239.8115234375,341.6993408203125,0.0007345941849052906
1100,210.45907592773438,340.53070068359375,0.0009166455711238086
1110,274.43310546875,307.7152099609375,0.001347260200418532
1120,272.53192138671875,277.6422119140625,0.001822764053940773
1130,844.3289794921875,305.35565185546875,0.0005627305363304913
1140,272.59051513671875,312.06683349609375,0.0005310933920554817
1150,337.88427734375,311.25970458984375,0.001084861229173839
1210,461.57806396484375,378.5054931640625,0.0004116938216611743
1230,755.27392578125,409.318603515625,0.0007467783289030194
1250,786.7874755859375,506.01025390625,0.0007896037423051894
1270,620.8228759765625,408.326416015625,0.00034647993743419647
1280,721.4918212890625,466.62646484375,0.00395395141094923
1300,949.140380859375,408.1111755371094,0.0005147070623934269
1410,437.2149353027344,373.97802734375,0.0002989577769767493
1420,436.92437744140625,376.71417236328125,0.0005328883999027312
1430,405.07489013671875,374.33251953125,0.00073791149770841
1440,530.471435546875,341.3927917480469,0.0010077385231852531
1450,531.1668701171875,341.9392395019531,0.0015163016505539417
1460,535.0787353515625,343.55633544921875,0.00028253247728571296
1500,946.140869140625,277.479248046875,0.00044859389890916646
1520,659.126953125,468.14739990234375,0.0003313781344331801
1530,599.3087158203125,472.80224609375,0.0003647903213277459
1570,1073.79736328125,273.374267578125,0.0022206318099051714
1700,436.70806884765625,408.235595703125,0.0011978641850873828
1790,751.4288330078125,340.859130859375,0.0003013578534591943
1800,725.8302612304688,280.09967041015625,0.0004336666315793991
1810,686.9664916992188,275.2176513671875,0.0011475075734779239
1830,658.384033203125,310.2616271972656,0.0007555888732895255
1840,592.4180297851562,307.4541015625,0.0014816074399277568
1850,562.9759521484375,278.3546142578125,0.0006541701732203364
1870,977.5078125,305.7763671875,0.0010145187843590975
1900,500.4130554199219,249.81634521484375,0.0005536843091249466
1910,725.4331665039062,375.071044921875,0.000608075933996588
1930,593.5751953125,371.59014892578125,0.0019181251991540194
1940,561.8770751953125,342.0025634765625,0.001965276664122939
1950,497.90008544921875,370.73175048828125,0.001212407718412578
1960,465.63165283203125,311.2940979003906,0.0012210371205583215
1970,500.9165954589844,342.41156005859375,0.0009418587433174253
2010,406.2471923828125,341.495361328125,0.0003391174541320652
2020,434.5843505859375,311.59307861328125,0.00034851403324864805
2100,658.1266479492188,309.64837646484375,0.0002949675254058093
2180,662.8010864257812,310.33642578125,0.0003220687503926456
2200,627.0643920898438,344.97137451171875,0.0005505958688445389
2210,564.6622314453125,311.7797546386719,0.00046914443373680115
2220,466.27020263671875,312.46630859375,0.0014434445183724165
2230,466.89910888671875,501.85076904296875,0.00023624752066098154
2260,528.887939453125,311.2315673828125,0.0002655319112818688
2270,559.912841796875,340.87506103515625,0.0020394399762153625
2280,594.2632446289062,344.74761962890625,0.0003513703995849937
2340,627.21337890625,377.20697021484375,0.0014038867084309459
2350,591.9962158203125,404.84075927734375,0.0008033062913455069
2360,592.5107421875,405.3956298828125,0.00041018894989974797
