frame,cx,cy,conf
25,616.229248046875,216.16302490234375,0.587436318397522
35,952.4774169921875,544.0089111328125,0.20985937118530273
35,553.57275390625,333.0524597167969,0.12165095657110214
40,682.888916015625,303.0391540527344,0.4044118821620941
50,649.9866333007812,287.3507080078125,0.6537903547286987
50,650.2275390625,279.1865539550781,0.26139721274375916
50,793.878662109375,298.50604248046875,0.15316055715084076
55,711.5381469726562,199.95565795898438,0.40796715021133423
60,1039.807861328125,554.6710815429688,0.14399056136608124
60,268.8333740234375,317.561279296875,0.11653868108987808
70,389.529541015625,211.7742919921875,0.2219042181968689
75,922.6787109375,273.8146667480469,0.536726713180542
75,555.1771240234375,213.405029296875,0.2465347796678543
80,908.2938842773438,316.91278076171875,0.5860914587974548
80,472.25775146484375,434.3299560546875,0.13721592724323273
85,677.7346801757812,429.5830078125,0.2345249354839325
85,475.7681579589844,370.181884765625,0.21870571374893188
85,870.8601684570312,354.1024169921875,0.1539958119392395
90,531.30224609375,324.28759765625,0.28824830055236816
100,439.98260498046875,347.44049072265625,0.35845568776130676
105,536.1074829101562,303.2417907714844,0.43494686484336853
110,872.373291015625,409.8201904296875,0.7197502255439758
110,725.800537109375,480.2020568847656,0.3579757809638977
110,603.028076171875,408.8324890136719,0.12850312888622284
115,820.093994140625,307.78076171875,0.13112889230251312
120,1192.12109375,413.07281494140625,0.33666345477104187
120,312.97869873046875,301.1697082519531,0.24309313297271729
120,1188.55224609375,367.6099853515625,0.12207100540399551
130,247.4578857421875,433.705810546875,0.7945104837417603
130,138.0187530517578,322.90740966796875,0.3813779652118683
135,427.53045654296875,500.27392578125,0.8133362531661987
145,1140.105224609375,240.29318237304688,0.27708521485328674
150,968.0616455078125,433.38299560546875,0.3609634339809418
155,1052.906005859375,392.7076416015625,0.7023711800575256
165,777.924560546875,349.9052734375,0.5562098622322083
165,965.8114624023438,461.7042236328125,0.3110165596008301
170,933.5918579101562,354.3206787109375,0.17320147156715393
175,810.8413696289062,363.1723327636719,0.3038463592529297
175,870.631591796875,320.571044921875,0.26825663447380066
185,874.60693359375,305.12493896484375,0.6770414710044861
190,598.4862060546875,158.61410522460938,0.21706914901733398
200,755.554443359375,285.119140625,0.360609769821167
200,699.50927734375,321.595458984375,0.23202572762966156
205,873.9808959960938,434.08465576171875,0.14157219231128693
220,930.31591796875,322.901611328125,0.5600693821907043
230,1175.4063720703125,321.6054382324219,0.18566831946372986
230,1140.193115234375,362.7994384765625,0.17924752831459045
240,1148.297119140625,470.29656982421875,0.6279853582382202
240,217.62001037597656,363.985107421875,0.21855224668979645
250,782.8255615234375,320.7843322753906,0.20272041857242584
250,785.734375,320.142333984375,0.1353558748960495
260,249.702392578125,188.36080932617188,0.5875378251075745
265,342.32171630859375,319.1101989746094,0.33229222893714905
270,581.9378662109375,255.371337890625,0.3058663606643677
270,260.0218811035156,306.8802795410156,0.2744763195514679
275,571.9506225585938,318.74658203125,0.3556837737560272
275,294.4864501953125,286.02789306640625,0.1413525938987732
300,581.5120239257812,388.7097473144531,0.29648494720458984
300,789.24853515625,316.81646728515625,0.2665112316608429
305,922.4988403320312,231.31533813476562,0.13781273365020752
315,820.2257080078125,320.0433349609375,0.43186846375465393
315,585.805419921875,387.02056884765625,0.24059604108333588
320,924.1256713867188,283.97686767578125,0.3859799802303314
320,921.5509033203125,396.4918518066406,0.16328421235084534
325,1005.7786865234375,281.2012023925781,0.179697647690773
325,932.4627685546875,418.36865234375,0.14692257344722748
330,938.925048828125,447.7813720703125,0.4896221458911896
330,579.99951171875,498.2232666015625,0.2621006369590759
330,963.17822265625,381.5408935546875,0.1617109179496765
335,754.08837890625,365.9659729003906,0.1125888004899025
340,1130.92822265625,286.6856689453125,0.17059704661369324
340,1150.8480224609375,340.79290771484375,0.13074146211147308
350,695.8060302734375,202.7242431640625,0.4389497935771942
350,774.4503784179688,213.68923950195312,0.203409343957901
365,966.844970703125,377.314453125,0.27079251408576965
370,294.10015869140625,411.13714599609375,0.7520660758018494
380,469.0090026855469,378.3787841796875,0.400200754404068
385,661.3313598632812,387.77069091796875,0.7590344548225403
390,985.60888671875,496.77662658691406,0.6048974990844727
400,853.908935546875,467.8675537109375,0.7053156495094299
400,573.2833251953125,331.828857421875,0.24471668899059296
400,789.1873779296875,574.5629272460938,0.11165820807218552
415,729.713623046875,241.58859252929688,0.28821954131126404
420,619.62109375,374.1434326171875,0.6062414646148682
420,709.6203002929688,368.3927001953125,0.11140098422765732
430,788.5902709960938,314.4087829589844,0.12134307622909546
435,917.3072509765625,356.480224609375,0.5696936845779419
445,913.0462646484375,248.35614013671875,0.6098913550376892
445,794.747802734375,402.7249450683594,0.18182910978794098
445,709.9298095703125,350.32696533203125,0.16484837234020233
450,823.994873046875,238.636474609375,0.6311144232749939
450,602.026611328125,323.9660339355469,0.1937795877456665
455,377.2974853515625,271.2878112792969,0.22283075749874115
460,820.653076171875,411.5704345703125,0.20366235077381134
460,739.1184692382812,336.188232421875,0.15122459828853607
465,763.4788208007812,390.98193359375,0.7349781394004822
465,425.6956787109375,477.669677734375,0.13085417449474335
470,791.3845825195312,423.3065490722656,0.13346484303474426
475,777.4378662109375,285.0823974609375,0.3331035375595093
475,745.1160888671875,407.689697265625,0.1700199395418167
485,773.0751953125,289.042724609375,0.19006574153900146
485,701.4114379882812,540.3921508789062,0.16255463659763336
490,411.0040283203125,443.26416015625,0.13969135284423828
495,700.7587890625,546.2266845703125,0.3083958327770233
495,413.3302917480469,461.349609375,0.10423531383275986
510,473.866943359375,451.10064697265625,0.7786439061164856
515,468.5379943847656,448.4036560058594,0.8154907822608948
515,713.0068359375,542.162841796875,0.18670952320098877
520,480.63006591796875,530.0130615234375,0.44276753067970276
520,710.8465576171875,542.4367065429688,0.14741457998752594
525,256.62823486328125,671.4617919921875,0.35280323028564453
525,510.3098449707031,256.0186462402344,0.18278701603412628
525,708.631103515625,544.05517578125,0.14964249730110168
530,708.0473022460938,539.0173950195312,0.18686923384666443
530,702.7159423828125,540.1688232421875,0.12557902932167053
535,710.8250122070312,539.0369262695312,0.48998111486434937
540,712.90869140625,540.55859375,0.37044668197631836
540,827.6701049804688,322.801513671875,0.18463847041130066
545,732.066650390625,379.1385498046875,0.7425858378410339
545,411.87261962890625,475.50286865234375,0.16036084294319153
545,98.82535552978516,325.8927001953125,0.1413617879152298
550,680.4825439453125,495.4217529296875,0.8641904592514038
550,712.4149169921875,542.7327270507812,0.2056950330734253
550,440.4239501953125,476.9280700683594,0.13366691768169403
555,697.4031982421875,359.3399658203125,0.7270591259002686
555,714.2728271484375,542.353271484375,0.13927286863327026
560,451.57061767578125,473.69012451171875,0.286011666059494
560,690.8339233398438,350.4772033691406,0.19338922202587128
565,452.04656982421875,440.2704162597656,0.3852483928203583
570,474.17449951171875,502.49908447265625,0.7795528769493103
570,844.2257080078125,420.65557861328125,0.5129844546318054
575,474.34576416015625,459.0475769042969,0.707908034324646
575,539.1563110351562,320.52728271484375,0.28876784443855286
580,518.1332397460938,301.7491149902344,0.16072167456150055
585,457.9093017578125,403.9312744140625,0.5463831424713135
585,54.24471664428711,542.036865234375,0.20505273342132568
585,482.85546875,350.05859375,0.204792320728302
590,1112.623779296875,335.744873046875,0.47064632177352905
590,1274.4570922851562,448.4602355957031,0.28916171193122864
600,957.2266845703125,323.09783935546875,0.6313597559928894
610,645.7463989257812,316.47613525390625,0.5599878430366516
610,739.0391845703125,366.17303466796875,0.31808289885520935
610,631.46875,160.80331420898438,0.16645272076129913
615,556.2625122070312,330.0106201171875,0.548281192779541
615,726.735107421875,384.1033020019531,0.4711816608905792
615,180.943603515625,383.09259033203125,0.10800887644290924
620,884.6573486328125,287.4830017089844,0.24495023488998413
630,470.11761474609375,433.9393310546875,0.3074834942817688
630,581.2440185546875,352.0973205566406,0.21589753031730652
635,714.041015625,408.41259765625,0.6051755547523499
635,771.8797607421875,355.0069274902344,0.4153158664703369
635,424.16937255859375,430.4586181640625,0.12749409675598145
640,555.50927734375,510.638916015625,0.18809551000595093
640,556.6401977539062,369.7922668457031,0.10303954035043716
645,648.3177490234375,238.63451385498047,0.5201331377029419
645,1272.7685546875,364.7833557128906,0.20056027173995972
645,433.72064208984375,443.98028564453125,0.14405839145183563
650,823.3930053710938,403.55133056640625,0.2403605431318283
650,612.657470703125,299.23785400390625,0.18092703819274902
660,956.6875,506.47802734375,0.15602406859397888
660,970.3675537109375,435.39776611328125,0.10486739128828049
665,567.511474609375,231.72251892089844,0.5061517953872681
665,676.3519897460938,463.53753662109375,0.25187569856643677
670,773.403076171875,438.16400146484375,0.6221773624420166
680,567.8924560546875,324.4578857421875,0.1040799468755722
685,490.85394287109375,221.91107177734375,0.39422735571861267
690,808.3272705078125,410.00225830078125,0.48090314865112305
690,797.3140869140625,293.55999755859375,0.3641601502895355
690,393.732421875,388.087158203125,0.13539338111877441
695,761.482421875,337.8580017089844,0.1734393686056137
700,803.8804321289062,301.7228698730469,0.4426087439060211
700,377.5060119628906,403.4405822753906,0.17842990159988403
700,596.971435546875,371.9408264160156,0.14728686213493347
705,996.5796508789062,264.7164611816406,0.560093104839325
710,698.0275268554688,310.77557373046875,0.6088021397590637
715,550.8838500976562,360.688232421875,0.10853882133960724
720,456.3576965332031,317.9454650878906,0.14516642689704895
725,731.2908935546875,384.4590148925781,0.2228911966085434
725,791.1726684570312,418.80511474609375,0.13110731542110443
730,455.6710205078125,418.005859375,0.661823034286499
730,550.6759033203125,240.89794921875,0.40257376432418823
730,581.998046875,325.26123046875,0.25009968876838684
735,764.1141357421875,296.3669128417969,0.569743275642395
735,701.0381469726562,265.4806823730469,0.1910366415977478
740,938.0087280273438,360.73614501953125,0.5276920795440674
740,522.4454956054688,348.012939453125,0.3322579264640808
740,554.981689453125,233.90985107421875,0.3307649791240692
750,627.2423095703125,420.6200256347656,0.10490953177213669
755,615.459716796875,235.35277557373047,0.138436421751976
765,603.4947509765625,238.37743377685547,0.1319558471441269
780,505.9417724609375,384.63665771484375,0.44644543528556824
780,775.8497924804688,334.0889587402344,0.38069823384284973
780,526.909912109375,440.14215087890625,0.2315986007452011
785,511.04486083984375,300.5308532714844,0.7097699642181396
790,996.69775390625,507.403564453125,0.3591020405292511
790,990.3274536132812,508.42547607421875,0.16096585988998413
795,461.7960205078125,225.5302734375,0.5146859288215637
795,1200.832763671875,530.9578857421875,0.2531023323535919
800,422.6529541015625,210.63717651367188,0.8276321291923523
800,536.9114990234375,339.5860595703125,0.20084981620311737
800,673.6368408203125,370.9476318359375,0.16974060237407684
805,674.6650390625,445.2293395996094,0.4855172634124756
810,468.13287353515625,207.7664794921875,0.30983659625053406
810,1190.73974609375,447.51324462890625,0.19320489466190338
810,817.837890625,395.67205810546875,0.11098838597536087
825,309.64581298828125,212.82427978515625,0.5240804553031921
830,612.3496704101562,217.39389038085938,0.6368389129638672
840,465.341796875,183.26576232910156,0.6628433465957642
840,637.3143310546875,206.5194854736328,0.2413967400789261
845,405.84222412109375,312.14910888671875,0.3968960642814636
850,969.1814575195312,239.54641723632812,0.2375011444091797
850,583.4783935546875,352.7666320800781,0.22586944699287415
855,417.6687927246094,552.36669921875,0.32185763120651245
870,578.7889404296875,240.26636505126953,0.3541032075881958
875,701.1046752929688,163.67306518554688,0.2197960615158081
880,514.6673583984375,218.05557250976562,0.2681538760662079
880,741.8909912109375,318.311767578125,0.166830375790596
885,742.6363525390625,246.66036987304688,0.21173761785030365
900,689.9805297851562,299.7943420410156,0.16030851006507874
905,698.587890625,345.16754150390625,0.6423382759094238
905,727.064453125,365.8811950683594,0.26462626457214355
905,742.040771484375,306.0984802246094,0.23500335216522217
910,868.12255859375,529.1185302734375,0.33612820506095886
910,508.2042236328125,318.9920654296875,0.18846966326236725
915,636.8430786132812,364.535400390625,0.5608192682266235
920,760.3135375976562,278.9723815917969,0.6175982356071472
920,354.86102294921875,367.0211181640625,0.2901347577571869
925,167.74038696289062,301.6884765625,0.5302656888961792
925,681.2271728515625,275.374267578125,0.1521555334329605
930,407.92724609375,308.4198913574219,0.4369281828403473
935,806.1978149414062,374.9368591308594,0.5681647658348083
935,289.12420654296875,382.14678955078125,0.29013141989707947
945,6.309076309204102,339.89678955078125,0.5630738735198975
945,1270.46826171875,519.10693359375,0.21552927792072296
945,179.97161865234375,351.51263427734375,0.1798993945121765
955,105.71465301513672,331.8939208984375,0.39254191517829895
955,325.5145263671875,374.6024169921875,0.23385019600391388
955,325.16302490234375,377.96258544921875,0.15962150692939758
960,329.406005859375,381.40606689453125,0.3633170425891876
965,298.9976501464844,475.2387390136719,0.14584632217884064
970,564.6543579101562,268.5685119628906,0.37857934832572937
980,502.924072265625,293.57470703125,0.3130703866481781
980,582.0885009765625,258.6119384765625,0.21336780488491058
980,558.1141357421875,475.2310791015625,0.16736048460006714
985,758.4738159179688,303.864990234375,0.12523187696933746
990,1106.8065185546875,273.4923095703125,0.3341691792011261
1000,257.364501953125,434.083984375,0.7069613337516785
1005,139.8130645751953,354.79461669921875,0.5791581869125366
1005,1257.943603515625,493.16558837890625,0.3960627019405365
1005,507.40289306640625,385.03985595703125,0.14153076708316803
1010,216.95614624023438,302.871826171875,0.11196103692054749
1030,697.2039184570312,267.1906433105469,0.43225765228271484
1035,676.8663330078125,385.1736145019531,0.4364083409309387
1040,772.8997802734375,340.27105712890625,0.18100017309188843
1045,478.55853271484375,291.58673095703125,0.3433963358402252
1045,609.7291259765625,342.12188720703125,0.1321481168270111
1050,838.48095703125,455.7946472167969,0.37959039211273193
