frame,type,result,dist,track_frames
55,3PT,MISS,83.0,19
120,2PT,MAKE,20.3,24
236,FT,MISS,64.9,33
444,FT,MISS,124.9,32
631,3PT,MISS,100.5,30
997,2PT,MISS,51.0,24
1301,2PT,MISS,115.8,33
1427,FT,MISS,137.6,27
1480,3PT,MISS,116.0,34
1626,2PT,MAKE,2.8,27
1669,3PT,MISS,114.2,28
1766,3PT,MISS,82.4,31
2053,3PT,MISS,151.6,26
2162,2PT,MISS,79.1,26
2322,FT,MISS,103.6,26
