frame,type,result,dist,track_frames
46,FT,MISS,81.9,30
120,2PT,MAKE,20.3,57
414,2PT,MISS,69.0,69
468,2PT,MISS,128.7,57
656,3PT,MISS,62.7,53
799,2PT,MISS,58.5,51
966,2PT,MAKE,43.5,63
1301,2PT,MISS,115.8,68
1431,2PT,MISS,110.7,64
1480,2PT,MISS,116.0,75
1626,3PT,MAKE,2.8,46
1677,2PT,MISS,88.3,46
1777,2PT,MISS,115.0,46
2020,FT,MISS,68.3,69
2282,2PT,MISS,170.2,34
