frame,x1,y1,x2,y2,conf
144,569.44,378.54,581.76,401.02,0.673
145,592.96,375.5,605.12,397.79,0.665
146,616.49,372.46,628.47,394.55,0.656
147,640.01,369.42,651.83,391.32,0.647
148,663.53,366.37,675.18,388.09,0.639
149,687.05,363.33,698.54,384.85,0.63
150,710.58,360.29,721.89,381.62,0.621
151,734.1,357.25,745.25,378.38,0.613
152,757.62,354.21,768.6,375.15,0.604
153,781.14,351.17,791.95,371.91,0.595
154,804.67,348.13,815.31,368.68,0.587
155,828.19,345.09,838.66,365.44,0.578
156,851.71,342.05,862.02,362.21,0.569
157,842.59,341.36,853.6,362.4,0.568
158,833.47,340.67,845.17,362.6,0.566
159,824.35,339.99,836.75,362.79,0.565
160,815.23,339.3,828.33,362.99,0.563
161,806.11,338.61,819.91,363.18,0.562
162,796.99,337.92,811.49,363.37,0.561
163,787.87,337.23,803.06,363.57,0.559
164,778.75,336.54,794.64,363.76,0.558
165,769.63,335.85,786.22,363.96,0.556
166,781.92,326.37,797.87,353.59,0.563
167,794.2,316.88,809.53,343.22,0.57
168,806.49,307.4,821.19,332.85,0.576
169,818.78,297.91,832.84,322.48,0.583
170,831.07,288.43,844.5,312.11,0.59
171,843.35,278.94,856.15,301.74,0.597
172,855.64,269.46,867.81,291.37,0.604
173,867.93,259.97,879.47,281.0,0.61
174,880.21,250.49,891.12,270.63,0.617
175,875.73,271.59,888.5,294.32,0.626
176,871.24,292.7,885.87,318.01,0.635
177,866.76,313.8,883.24,341.71,0.644
178,862.27,334.9,880.62,365.4,0.653
179,855.56,335.28,872.99,364.89,0.643
180,848.86,335.66,865.36,364.37,0.632
181,842.15,336.04,857.73,363.85,0.622
182,835.44,336.41,850.11,363.33,0.611
183,828.73,336.79,842.48,362.81,0.601
184,819.67,346.25,834.49,373.63,0.638
185,810.61,355.7,826.51,384.44,0.675
186,801.55,365.16,818.52,395.25,0.712
187,795.25,370.27,811.95,400.14,0.711
188,788.95,375.39,805.38,405.04,0.709
189,782.65,380.5,798.8,409.93,0.708
190,776.35,385.62,792.23,414.82,0.706
191,770.05,390.73,785.66,419.71,0.705
192,763.74,395.84,779.08,424.6,0.703
193,757.44,400.96,772.51,429.49,0.702
194,751.14,406.07,765.94,434.38,0.7
195,744.84,411.19,759.37,439.27,0.699
196,738.54,416.3,752.79,444.16,0.697
197,732.24,421.42,746.22,449.05,0.696
198,725.94,426.53,739.65,453.94,0.694
199,719.64,431.64,733.08,458.83,0.693
200,713.34,436.76,726.5,463.73,0.691
