frame,type,result,dist,track_frames
115,2PT,MISS,72.3,25
236,FT,MISS,64.9,33
468,3PT,MISS,128.7,25
617,2PT,MISS,130.3,20
808,3PT,MISS,133.1,17
990,3PT,MAKE,51.0,16
1303,3PT,MISS,115.8,31
1414,2PT,MISS,121.9,26
1468,2PT,MISS,116.0,34
1609,2PT,MAKE,2.8,22
1650,FT,MISS,75.3,23
1780,2PT,MISS,128.3,29
2051,2PT,MISS,147.7,25
2174,3PT,MISS,55.8,24
2320,2PT,MISS,103.6,14
