frame,cx,cy,conf
60,1112.83349609375,116.36543273925781,0.15965713560581207
100,576.1387939453125,166.334228515625,0.3542153239250183
110,619.40283203125,164.9598388671875,0.12379644811153412
185,1071.42333984375,82.42660522460938,0.23492981493473053
320,320.98883056640625,145.8969268798828,0.22067716717720032
325,323.9461669921875,147.3942413330078,0.3187240660190582
330,329.45880126953125,147.425048828125,0.3346365690231323
335,326.107177734375,147.27044677734375,0.36296942830085754
340,327.39935302734375,147.1039276123047,0.47023484110832214
410,958.0912475585938,117.56510925292969,0.11883828043937683
420,873.5695190429688,155.82447814941406,0.10010222345590591
425,717.4888916015625,160.73338317871094,0.3421519696712494
435,768.1898193359375,169.37942504882812,0.17452304065227509
440,816.3623657226562,160.2320556640625,0.29011040925979614
445,863.0767211914062,149.04736328125,0.49208924174308777
450,886.0348510742188,148.42526245117188,0.4427623748779297
455,882.3055419921875,155.60853576660156,0.26307010650634766
460,852.6578369140625,158.783203125,0.169257253408432
465,812.200439453125,166.66192626953125,0.4825848340988159
470,800.3284301757812,172.1090850830078,0.37775135040283203
475,800.3721313476562,173.3511962890625,0.5498044490814209
480,800.5371704101562,173.87539672851562,0.5432182550430298
485,800.504150390625,172.22967529296875,0.4342241585254669
490,800.439697265625,172.5255126953125,0.438854455947876
495,800.7758178710938,175.62542724609375,0.5351406335830688
500,802.518310546875,175.321533203125,0.2718123197555542
505,803.4837646484375,171.5428009033203,0.316074401140213
510,807.6072998046875,168.985595703125,0.45689746737480164
515,812.19384765625,173.80572509765625,0.5701010823249817
520,810.2237548828125,174.63365173339844,0.5179775953292847
525,805.9362182617188,192.68093872070312,0.48350173234939575
530,803.3981323242188,211.4290313720703,0.4248407185077667
535,807.4315795898438,173.22927856445312,0.5681591629981995
540,803.017822265625,172.96990966796875,0.3428817391395569
545,802.7727661132812,173.74961853027344,0.22786037623882294
550,801.29150390625,174.3181915283203,0.39833924174308777
555,802.1195068359375,172.22760009765625,0.22046099603176117
560,802.8878173828125,171.74356079101562,0.19747459888458252
565,807.008056640625,170.99163818359375,0.5936017036437988
570,811.712158203125,171.8074951171875,0.6018399000167847
575,811.1678466796875,172.44989013671875,0.5921010375022888
580,808.970458984375,169.2216339111328,0.6117594242095947
585,811.6917114257812,148.0169219970703,0.40688246488571167
635,450.4189147949219,167.3463592529297,0.19644084572792053
640,460.70172119140625,168.01295471191406,0.1005224958062172
645,408.65716552734375,161.20669555664062,0.4447998106479645
650,352.387451171875,149.99264526367188,0.4878578186035156
655,353.56243896484375,149.7005157470703,0.4692050814628601
660,376.8406066894531,154.78407287597656,0.4792792499065399
665,397.909423828125,159.78866577148438,0.33418211340904236
670,413.68603515625,160.56898498535156,0.3796747922897339
675,442.18206787109375,162.34744262695312,0.34094899892807007
680,474.81982421875,162.97280883789062,0.2760373055934906
685,478.80072021484375,161.5939483642578,0.5051324963569641
690,474.8031005859375,163.0814208984375,0.33603331446647644
695,448.230712890625,163.82052612304688,0.2595084607601166
700,415.33746337890625,152.56051635742188,0.312429815530777
730,333.4644775390625,126.92875671386719,0.11128251999616623
790,364.4437255859375,128.5121612548828,0.354993611574173
810,358.2412414550781,134.26144409179688,0.2463274747133255
