frame,x1,y1,x2,y2,conf
144,699.83,438.09,718.07,465.65,0.763
145,731.18,432.87,749.25,460.11,0.758
146,762.54,427.66,780.43,454.57,0.752
147,793.9,422.44,811.61,449.03,0.747
148,825.25,417.22,842.8,443.49,0.741
149,856.61,412.01,873.98,437.95,0.736
150,887.96,406.79,905.16,432.41,0.73
151,919.32,401.58,936.34,426.87,0.725
152,950.68,396.36,967.52,421.33,0.719
153,982.03,391.14,998.7,415.78,0.713
154,1013.39,385.93,1029.89,410.24,0.708
155,1044.74,380.71,1061.07,404.7,0.702
156,1017.23,376.23,1033.58,400.63,0.688
157,989.72,371.74,1006.1,396.55,0.673
158,962.21,367.25,978.61,392.48,0.659
159,934.7,362.77,951.13,388.4,0.644
160,907.19,358.28,923.64,384.33,0.629
161,879.68,353.8,896.16,380.25,0.615
162,852.16,349.31,868.67,376.18,0.6
163,824.65,344.83,841.19,372.11,0.585
164,797.14,340.34,813.7,368.03,0.571
165,769.63,335.85,786.22,363.96,0.556
166,781.92,326.37,797.87,353.59,0.563
167,794.2,316.88,809.53,343.22,0.57
168,806.49,307.4,821.19,332.85,0.576
169,818.78,297.91,832.84,322.48,0.583
170,831.07,288.43,844.5,312.11,0.59
171,843.35,278.94,856.15,301.74,0.597
172,855.64,269.46,867.81,291.37,0.604
173,867.93,259.97,879.47,281.0,0.61
174,880.21,250.49,891.12,270.63,0.617
175,875.73,271.59,888.5,294.32,0.626
176,871.24,292.7,885.87,318.01,0.635
177,866.76,313.8,883.24,341.71,0.644
178,862.27,334.9,880.62,365.4,0.653
179,919.94,343.07,937.34,371.38,0.641
180,977.61,351.24,994.06,377.36,0.629
181,1035.28,359.4,1050.78,383.34,0.617
182,1092.95,367.57,1107.5,389.32,0.604
183,1017.64,342.28,1032.4,365.72,0.629
184,942.34,317.0,957.29,342.12,0.653
185,867.03,291.72,882.19,318.53,0.677
186,801.55,365.16,818.52,395.25,0.712
187,795.25,370.27,811.95,400.14,0.711
188,788.95,375.39,805.38,405.04,0.709
189,782.65,380.5,798.8,409.93,0.708
190,776.35,385.62,792.23,414.82,0.706
