frame,type,result,dist,track_frames
65,3PT,MISS,93.0,27
131,3PT,MAKE,41.8,33
460,2PT,MISS,87.8,34
613,3PT,MISS,81.3,31
794,3PT,MISS,77.0,31
995,3PT,MISS,89.0,32
1275,3PT,MISS,142.4,34
1362,2PT,MISS,75.1,31
1432,3PT,MISS,115.4,34
1630,3PT,MISS,69.5,34
1669,3PT,MISS,114.2,28
1764,3PT,MISS,74.9,26
2037,3PT,MISS,91.9,34
2162,2PT,MISS,72.4,34
2322,3PT,MISS,103.6,33
2433,2PT,MAKE,5.6,33
2650,3PT,MISS,67.7,34
